# mass1 mass2 srcmass1 srcmass2 distance redshift
1.715686444929079357e+01 6.544346386939355220e+00 1.455097711042515307e+01 5.550351858318986586e+00 8.946306952092143092e+02 1.790867595412978519e-01
1.455780856359027098e+01 7.482354303521918659e+00 1.204597951078256557e+01 6.191336164295060840e+00 1.059678181946075028e+03 2.085201166546334639e-01
1.912790062942263347e+01 5.868612921308690389e+00 1.588263336758932454e+01 4.872935572556701622e+00 1.035885371448264550e+03 2.043280346983087081e-01
1.114709214304161655e+01 9.478267250349230011e+00 8.909419556984651933e+00 7.575595368098079874e+00 1.306910872495021067e+03 2.511580661057445929e-01
1.923948669716988036e+01 5.789148165042851346e+00 1.543691389190895791e+01 4.644956652841212730e+00 1.278444587493656627e+03 2.463298578904419001e-01
1.909305689135563355e+01 5.929314192977942710e+00 1.625827756202818719e+01 5.048978613034656782e+00 8.685620582358709498e+02 1.743591421977060962e-01
1.756923932355840279e+01 6.306630749714940087e+00 1.515855746866609799e+01 5.441295601513177260e+00 7.848987535817814205e+02 1.590310858982043607e-01
2.189686332760999932e+01 5.263496888225078330e+00 1.790790094577379321e+01 4.304643066565251530e+00 1.141130098310053654e+03 2.227487405651295271e-01
1.567106530670119291e+01 7.164092607993779005e+00 1.271767095781586221e+01 5.813936111977369592e+00 1.195981183701792816e+03 2.322276113827485555e-01
1.083599993056587607e+01 9.762097954854386472e+00 9.294704209928651650e+00 8.373552375427392391e+00 8.218193999390714453e+02 1.658251500882409746e-01
2.004862869894056487e+01 5.719756519258620386e+00 1.642854717105647211e+01 4.686968430342747460e+00 1.127341620520895731e+03 2.203531140149684042e-01
1.700710531837408368e+01 6.490964595450756214e+00 1.368141792656633449e+01 5.221676335535116564e+00 1.259354227916866193e+03 2.430806082862207729e-01
1.059824725702580928e+01 9.745999196344921955e+00 9.378715542022437290e+00 8.624534974375499985e+00 6.302727876015658239e+02 1.300318481287888184e-01
1.315387183208274458e+01 8.179607969691861769e+00 1.079830182610101197e+01 6.714819545412034962e+00 1.114645507852758101e+03 2.181426342693987275e-01
1.387774654053412426e+01 7.879987767621472017e+00 1.141131282546796122e+01 6.479510575765904612e+00 1.103161646123296350e+03 2.161393481003809625e-01
1.476857321326327188e+01 7.219707664860800733e+00 1.197084522187243039e+01 5.852021163804621118e+00 1.204612013322461962e+03 2.337118172974950725e-01
1.598186152291833295e+01 6.792963590917645789e+00 1.256257578073281245e+01 5.339623282574845753e+00 1.432217796435273840e+03 2.721803077542162552e-01
1.138409885317308401e+01 9.321853906507977072e+00 9.812245372155633305e+00 8.034743815365665398e+00 7.911946850446264534e+02 1.601930466881642257e-01
1.062250400211325818e+01 1.028582395394982640e+01 8.911950325731487155e+00 8.629486241528697477e+00 9.661230375540184241e+02 1.919393189886714757e-01
1.078791926696307790e+01 9.739974718446513080e+00 8.894467393234275931e+00 8.030453825275666091e+00 1.084521168529382749e+03 2.128797363593785963e-01
1.345897692934321555e+01 7.951444861339813208e+00 1.076032584617785126e+01 6.357105603576370889e+00 1.304774516078193756e+03 2.507964091184048394e-01
1.374440608189147994e+01 7.906852518292213361e+00 1.056571177044699716e+01 6.078220057087522221e+00 1.606602715135442168e+03 3.008499929304813136e-01
1.166635221374754217e+01 9.235294302370558484e+00 9.986863720370804387e+00 7.905780995246026954e+00 8.346208453300915835e+02 1.681697618393432903e-01
1.464881518482262202e+01 7.055702773636680192e+00 1.070377266454340770e+01 5.155545859834662181e+00 2.033727386571305487e+03 3.685656117629717565e-01
1.479017062977011499e+01 7.305760554760402314e+00 1.259826343285770278e+01 6.223044909366455713e+00 8.665035576284175249e+02 1.739848677235681373e-01
1.273142803004313528e+01 9.048488966035197478e+00 1.007939410920640100e+01 7.163633660439054474e+00 1.377908846745200663e+03 2.631144185953001036e-01
1.102760074705433269e+01 9.785456849471906082e+00 8.434000920025731318e+00 7.483998919108811876e+00 1.647720289794096288e+03 3.075171382623810290e-01
1.129960023645011624e+01 9.458582620139962316e+00 1.025432632087526486e+01 8.583612755343402512e+00 4.851563083489752444e+02 1.019349182838987372e-01
1.118656041602628193e+01 9.265374310894646470e+00 9.223518250420035258e+00 7.639466098183093301e+00 1.084237656910767782e+03 2.128300841727992776e-01
2.131102150415137331e+01 5.417958819676906401e+00 1.769690775856775744e+01 4.499132876050229157e+00 1.035289844358357868e+03 2.042228955978980798e-01
2.033915132356053945e+01 5.752907532594253581e+00 1.709120323999979618e+01 4.834228837591521888e+00 9.554802095415877830e+02 1.900362448419859185e-01
1.465348915578744027e+01 7.474022525544794071e+00 1.150419095926100965e+01 5.867720749206442044e+00 1.441675757977875719e+03 2.737522532161385524e-01
1.410392020738018104e+01 7.702462541974925081e+00 1.127181506256185983e+01 6.155787328832209582e+00 1.307486338621533605e+03 2.512554658765525084e-01
1.209201487268037667e+01 8.859913316006661432e+00 1.074515669410948782e+01 7.873059856369164500e+00 6.057434317557691656e+02 1.253456061100755026e-01
1.565107479392686507e+01 7.054030198364079851e+00 1.428954258003852296e+01 6.440379731589705337e+00 4.514879160959598039e+02 9.528172131907888809e-02
1.597097663757260122e+01 6.917589004172268297e+00 1.375914303683474493e+01 5.959566452218397536e+00 7.942354183352312020e+02 1.607537326137632727e-01
1.246189596805851529e+01 8.642151959903193514e+00 1.024738636676593018e+01 7.106420275086637872e+00 1.102963907103759539e+03 2.161048214669280820e-01
1.718369234944100299e+01 6.373383342153466025e+00 1.421878946402468991e+01 5.273709169877576208e+00 1.059677881071866295e+03 2.085200637450807803e-01
1.261671448106366356e+01 8.439085114911222263e+00 1.135499896294017574e+01 7.595147125807203636e+00 5.320539221633667921e+02 1.111154234572284405e-01
4.932908126665633830e+01 3.278740372739429088e+00 4.359448331985633729e+01 2.897580672886858277e+00 6.382160225959024729e+02 1.315441200375007946e-01
1.304666661324174015e+01 7.249015500242343535e+00 1.218796707420207959e+01 6.771903111838729394e+00 3.282538086669724748e+02 7.045469796659083184e-02
2.092461003713341228e+01 5.561028596179970585e+00 1.586046269873210335e+01 4.215155573259041333e+00 1.720859256975368226e+03 3.192937958112747054e-01
1.378513617175822148e+01 7.861751034154599971e+00 1.163814297121070140e+01 6.637307125554855247e+00 9.245148806003418258e+02 1.844790191921977796e-01
1.233547265613063715e+01 8.733836500862482310e+00 1.038942186495774145e+01 7.355981763854814837e+00 9.402726309812559293e+02 1.873107874978769405e-01
1.749311251145565649e+01 6.377705602813108499e+00 1.591416155947717037e+01 5.802045649422554519e+00 4.713684057858620235e+02 9.921672254471933239e-02
1.732845327594998963e+01 6.525116252135314099e+00 1.502678521001414147e+01 5.658411563327160998e+00 7.532634292457179299e+02 1.531710231941006972e-01
1.543360842584068671e+01 6.953288789210666287e+00 1.289627463881599390e+01 5.810146233755867584e+00 9.931105680782128502e+02 1.967493604228674198e-01
3.081739264819199065e+01 4.232684850219396111e+00 2.439455964543790856e+01 3.350526250476815182e+00 1.378954200799376849e+03 2.632895652189086722e-01
1.234888775551545237e+01 8.715780222902836272e+00 1.127940161644554706e+01 7.960942514105060042e+00 4.491494483849350559e+02 9.481763088483134705e-02
2.091840988489865794e+01 5.556689571234556979e+00 1.711292615068847667e+01 4.545814849124153234e+00 1.138975902829049119e+03 2.223748119229206344e-01
1.467082111849089188e+01 7.428899321010670853e+00 1.175025645889424553e+01 5.950005901112091600e+00 1.291538767609919205e+03 2.485532694382983632e-01
1.414154436858370367e+01 7.675656587706387590e+00 1.166219214766111989e+01 6.329929719992657411e+00 1.082909479129230249e+03 2.125974421901309641e-01
1.562328816948732069e+01 7.012595686640431758e+00 1.310610172490093461e+01 5.882743211778509007e+00 9.668107994340463165e+02 1.920621781688034713e-01
1.205099457851340361e+01 8.921758078402874048e+00 1.023861406834415000e+01 7.579991608225180144e+00 8.831873499725846841e+02 1.770142421690440449e-01
1.766919877891114510e+01 6.297840134798201817e+00 1.511136845249694360e+01 5.386151569331282474e+00 8.406129735553948876e+02 1.692653007869419357e-01
1.768943807916109989e+01 6.368204842528827569e+00 1.332506697457237976e+01 4.797029484755515938e+00 1.772398561160264762e+03 3.275308944350563412e-01
1.872861185240119397e+01 5.987362309308754682e+00 1.502041257606537350e+01 4.801885630230025015e+00 1.281666421708349844e+03 2.468773249441056916e-01
1.289784838578343518e+01 8.129850370004090720e+00 1.018857841068746595e+01 6.422126814054022859e+00 1.394627024114138294e+03 2.659124625525813301e-01
1.567910115878512300e+01 6.378893151778059156e+00 1.263854259448454975e+01 5.141870824606602497e+00 1.244688843497684729e+03 2.405782582579949758e-01
4.170794906291515503e+01 3.483957005461037593e+00 3.364529792539706676e+01 2.810465967319321301e+00 1.239179512073750629e+03 2.396367883380226549e-01
2.859127655634053866e+01 4.356574759195297908e+00 2.300069605299412601e+01 3.504714162410329514e+00 1.259241308291283758e+03 2.430613617286010997e-01
2.240373599856061659e+01 5.260546806028340683e+00 1.835052785596042568e+01 4.308826470183756641e+00 1.130353936690263026e+03 2.208769237819866171e-01
1.069567500170313323e+01 9.889120979349856455e+00 8.601518988646612129e+00 7.952883934053394555e+00 1.261601105797792343e+03 2.434635110171421146e-01
