# mass1 mass2 srcmass1 srcmass2 distance redshift
5.613035754208302563e+01 3.136586487798031442e+01 4.321734349183724788e+01 2.415002176556461677e+01 1.593955699999999979e+03 2.987924061710258705e-01
4.145069711908821120e+01 4.050288018438160265e+01 3.244209723346868657e+01 3.170027209438990212e+01 1.465375500000000102e+03 2.776824143269585599e-01
5.076824369199935916e+01 2.517614075850612565e+01 4.187981528209441962e+01 2.076833957225124649e+01 1.080849791996282647e+03 2.122365714851935925e-01
6.023784569115594678e+01 2.240858362257308656e+01 4.669674334010133521e+01 1.737126993889368265e+01 1.540016028520726195e+03 2.899795870652513430e-01
5.759501603651926160e+01 2.365549879480442641e+01 4.824911411583407528e+01 1.981693798112312876e+01 9.759927122844809446e+02 1.937010055407027975e-01
5.412456519143528766e+01 2.753759133266006387e+01 4.326696987775608960e+01 2.201344492065682346e+01 1.305647478771535361e+03 2.509442039587147510e-01
4.848307593671428606e+01 2.472331867005181394e+01 3.817456116420838441e+01 1.946662464205174103e+01 1.419337103669250610e+03 2.700362350771679520e-01
5.888214077504989774e+01 2.750759028781205373e+01 4.428987998460100073e+01 2.069061784229497647e+01 1.784587399999999889e+03 3.294716715313392719e-01
4.862940194518832726e+01 3.521643666284165164e+01 3.517747025137110484e+01 2.547481777511317702e+01 2.123516585349807428e+03 3.824019066093278796e-01
4.930076685412795001e+01 3.144887378563653968e+01 3.563588968984673500e+01 2.273207231057541833e+01 2.130405699999999797e+03 3.834582855433681936e-01
5.909438693773685713e+01 2.857152716209293786e+01 4.674654008049925125e+01 2.260147044170352615e+01 1.384059700000000021e+03 2.641446155367683235e-01
5.530379416532088044e+01 2.454917941083957444e+01 4.362600042193125915e+01 1.936544368246853409e+01 1.405206067429363202e+03 2.676796779545958516e-01
4.145348964451507356e+01 3.926375966821620267e+01 3.247451677163311956e+01 3.075909007413494223e+01 1.458194400000000087e+03 2.764928862844602264e-01
4.652779951071629938e+01 2.137392872896452900e+01 3.774784177635451243e+01 1.734059397359215637e+01 1.198116299999999910e+03 2.325949596371788830e-01
3.751484809359375561e+01 3.320096744724560978e+01 2.858487107707746944e+01 2.529785997656287933e+01 1.677980399999999918e+03 3.124022141795606000e-01
3.966910831307315277e+01 3.196754227349211774e+01 3.067381922414365292e+01 2.471864517343125556e+01 1.560027702215792715e+03 2.932562464164628069e-01
4.568233768347258916e+01 3.230471135554848416e+01 3.667337407200934507e+01 2.593393473072939059e+01 1.274469700000000103e+03 2.456540702738136961e-01
4.021207041409661542e+01 3.538783732218185207e+01 3.062626963250320955e+01 2.695204291595911172e+01 1.681646077733238144e+03 3.129927639447194765e-01
4.577470716501333214e+01 2.399993662693376351e+01 3.466167186677778034e+01 1.817330966613071297e+01 1.729101899999999887e+03 3.206145202963243124e-01
4.819124695663285252e+01 2.936668192121368293e+01 3.653410081328028980e+01 2.226307442981590512e+01 1.719499299999999948e+03 3.190757643914735597e-01
5.160842699495842822e+01 3.199646173755930434e+01 3.734627944923294507e+01 2.315414111641714001e+01 2.120175900000000183e+03 3.818893811125921300e-01
4.862566362084704963e+01 2.739580610827711382e+01 4.148709032522630480e+01 2.337391817227975110e+01 8.559694253572969274e+02 1.720673404584394106e-01
4.247522286722659857e+01 3.008008283451643194e+01 3.337620382806850472e+01 2.363634392192085443e+01 1.434861778310334330e+03 2.726199506100227543e-01
4.225678736090755905e+01 3.151763880855278899e+01 3.285429780706144243e+01 2.450469986626430341e+01 1.516921000000000049e+03 2.861875060931972636e-01
4.231115256993579266e+01 3.630435118682397899e+01 3.020838660394112907e+01 2.591978259736855961e+01 2.243137562767190502e+03 4.006425806406912482e-01
4.395217258151782147e+01 3.427174490097004167e+01 3.027397465602483351e+01 2.360615813985970135e+01 2.586041157307333833e+03 4.518137469858417021e-01
5.335175308921230908e+01 2.942730199104580180e+01 3.852536010411756706e+01 2.124948741987802237e+01 2.139473399999999856e+03 3.848476158308537509e-01
4.502075744915680389e+01 3.088108718162667898e+01 3.583497180965661499e+01 2.458028143695450751e+01 1.337568645301097376e+03 2.563357852851678720e-01
4.497934493892921637e+01 3.770213923573152215e+01 3.161322901183400091e+01 2.649852645727763800e+01 2.390322326792377680e+03 4.228013507285756090e-01
4.101584688270498447e+01 3.650320079348670532e+01 3.296236506495587548e+01 2.933577926685840609e+01 1.266650503953446105e+03 2.443235429823939486e-01
5.007899667399291133e+01 2.912569379505453071e+01 3.768111615364768596e+01 2.191514854204286777e+01 1.781755799999999908e+03 3.290210531395063587e-01
4.866567204863576279e+01 3.398868910670000787e+01 3.607497239046472259e+01 2.519519343916394405e+01 1.908279795852336292e+03 3.490148106530220895e-01
4.684753952133787180e+01 2.485691137488265312e+01 3.605725173265904715e+01 1.913167521492373524e+01 1.596793018453122841e+03 2.992543044789369167e-01
5.019533348181202115e+01 2.846293701884005500e+01 3.687985162067281664e+01 2.091247972929062016e+01 1.985306210384821043e+03 3.610503100200999071e-01
5.976688021581874466e+01 2.904398376525690040e+01 4.493429859291406814e+01 2.183602413449018798e+01 1.788505011435347342e+03 3.300948737907686281e-01
5.492772233651437830e+01 3.137284897824407537e+01 4.166629466734097065e+01 2.379837201464518159e+01 1.714519600000000082e+03 3.182771056330099269e-01
4.473771364385511617e+01 3.570594100593464049e+01 3.284349377956355198e+01 2.621295895131094156e+01 1.992365999999999985e+03 3.621484347591726327e-01
4.713870479748803177e+01 2.590938137227063720e+01 3.735941104833139548e+01 2.053427714768736578e+01 1.369845299999999952e+03 2.617625244815901531e-01
4.020494838165241447e+01 3.637053769109504486e+01 2.951430162401729262e+01 2.669947513556663310e+01 1.992821136313121542e+03 3.622192011799322819e-01
4.764743015496789269e+01 2.440347095779831932e+01 3.891502319169162405e+01 1.993101485624360336e+01 1.150633299999999963e+03 2.243968073785098105e-01
4.206553998656153226e+01 2.898682757904509089e+01 3.398913060891051430e+01 2.342147679161807261e+01 1.227377799999999979e+03 2.376174157138847831e-01
5.313267124491831339e+01 2.521579985731305129e+01 4.101709616961611715e+01 1.946596817942071311e+01 1.573017499999999927e+03 2.953786641843491600e-01
5.678321806688447992e+01 2.339606861493027878e+01 4.535789010760465345e+01 1.868855526884741636e+01 1.311253340828071941e+03 2.518928444902306940e-01
3.724663314956725912e+01 3.223671813939642306e+01 3.050921359910532615e+01 2.640552544708126348e+01 1.130097205916551729e+03 2.208322914838913575e-01
3.870657056089022063e+01 3.407415438523266005e+01 2.827566883903649142e+01 2.489162670331088023e+01 2.035889300000000048e+03 3.689002647906654553e-01
4.517037895452088492e+01 3.223201110155901716e+01 3.337001703561722366e+01 2.381168332978039004e+01 1.937687663102963597e+03 3.536216929799177455e-01
4.640498362279386413e+01 2.692562934631015992e+01 3.492996896494428682e+01 2.026746534538659006e+01 1.778576235167450477e+03 3.285148827176428976e-01
4.143394955591541162e+01 3.309991386821187831e+01 3.143843279535698798e+01 2.511489802036791019e+01 1.712414925046560938e+03 3.179394095635270645e-01
3.957755421092956993e+01 3.799040193784664154e+01 3.145461491544904931e+01 3.019321146196791972e+01 1.348896383877696508e+03 2.582431645504236206e-01
4.811348341057345834e+01 2.816265529070188123e+01 3.370261920842760617e+01 1.972742732138466337e+01 2.422386503072923006e+03 4.275888503805752028e-01
4.977308078317183515e+01 2.577103451537977463e+01 3.856481233690909249e+01 1.996772339938515728e+01 1.544012229271155547e+03 2.906345906300619175e-01
4.912104980808629051e+01 3.565544780847864104e+01 3.483594279010407035e+01 2.528633131548485125e+01 2.305496478578215829e+03 4.100680467887387604e-01
5.827314143421205017e+01 2.628971601463008056e+01 4.716788746759019091e+01 2.127962104004497235e+01 1.214681675104534634e+03 2.354409867147953250e-01
4.328916379230836498e+01 3.328420872006713438e+01 3.425719179699112260e+01 2.633969848447429740e+01 1.381116956891815562e+03 2.636518500652624830e-01
5.168207314152382281e+01 2.442526459506838066e+01 3.808848810154348996e+01 1.800085297195342804e+01 1.958638999999999896e+03 3.568948445456796570e-01
4.068633886906635411e+01 3.912600953606796139e+01 3.318344647562346950e+01 3.191085458495170002e+01 1.160489330783072546e+03 2.261034699621845556e-01
4.839845658558729014e+01 2.418002874053802742e+01 3.565060639429923128e+01 1.781116068665031094e+01 1.963013818975778122e+03 3.575773733073590033e-01
5.363141476472256386e+01 2.744006626654958581e+01 4.156707468461257093e+01 2.126744723882700328e+01 1.541591699999999946e+03 2.902378907259502427e-01
4.254911298712718803e+01 4.226207578590344838e+01 3.380078828520847622e+01 3.357276746438719073e+01 1.352326563009381744e+03 2.588201383973951497e-01
3.930685756903181272e+01 3.572552889697907119e+01 2.958826048952236576e+01 2.689241319465295277e+01 1.778239416774727715e+03 3.284612518181304064e-01
5.115133393854081589e+01 2.651902565643013787e+01 4.067210105983308210e+01 2.108614592148408562e+01 1.345381331806773005e+03 2.576516237332228676e-01
5.110384796565455900e+01 2.797386250418709253e+01 4.301285938958504573e+01 2.354491613400316652e+01 9.447070994437482341e+02 1.881062707965104608e-01
5.525510860978332772e+01 2.859023381570326094e+01 4.427522767534589576e+01 2.290899689332090006e+01 1.288228119775961886e+03 2.479915183033928328e-01
