# mass1 mass2 srcmass1 srcmass2 distance redshift
3.194127358757916113e+01 1.418507007279283094e+01 2.506406714559824422e+01 1.113091335555733608e+01 1.445486820771005114e+03 2.743850948862741612e-01
2.277586634987880032e+01 1.889505324102958639e+01 1.843016048923528061e+01 1.528981854456103306e+01 1.216734440209874265e+03 2.357931643178998726e-01
6.066361985843559523e+01 1.410690863122379568e+01 4.738114567963994972e+01 1.101816038187573099e+01 1.481398619476127806e+03 2.803324822198891009e-01
3.921452178231466235e+01 1.189144930678705947e+01 3.274076077119571693e+01 9.928339790488081462e+00 9.986160032043094361e+02 1.977278737155782895e-01
4.103015863075091829e+01 1.552942560003328332e+01 3.343976506196242582e+01 1.265655217874632577e+01 1.165597992510405447e+03 2.269870483456991883e-01
3.219376019593875071e+01 1.405787505110992441e+01 2.590586242163455921e+01 1.131217275640029740e+01 1.257244930858060570e+03 2.427210363416825167e-01
3.766270707713536581e+01 1.185620655652504496e+01 3.055719944097690899e+01 9.619395324376400325e+00 1.197746684749700307e+03 2.325313761126302503e-01
2.170006226201797617e+01 2.046795300358971659e+01 1.723066049147061918e+01 1.625231968930921767e+01 1.355695641443495106e+03 2.593865611106297986e-01
2.712402510358806751e+01 1.889693264095243919e+01 2.208264436420657617e+01 1.538467249941154336e+01 1.173173894126047344e+03 2.282960616597614623e-01
2.162806287392566418e+01 2.155379413315632320e+01 1.796614977719464790e+01 1.790445570277828935e+01 1.033024851332895423e+03 2.038229193312900145e-01
3.252252017302236453e+01 2.090458785175538026e+01 2.497163274161132307e+01 1.605108360826862679e+01 1.616011377491430039e+03 3.023786033353224045e-01
2.363100167100975924e+01 1.855255704388563132e+01 1.853244422469469654e+01 1.454971030970205526e+01 1.449886167058154797e+03 2.751152187211859945e-01
3.150196934627284406e+01 1.348287445486255720e+01 2.639510350440549047e+01 1.129713075589377702e+01 9.747411438445233216e+02 1.934777729140175484e-01
2.991667345962800795e+01 1.659902281677553049e+01 2.253118031619893813e+01 1.250124204691975294e+01 1.774024167860715579e+03 3.277898911544913640e-01
4.904001383419495852e+01 1.166587587254893421e+01 4.191563667709515784e+01 9.971094548364307641e+00 8.444678369028302996e+02 1.699694367518203575e-01
2.177705687493509146e+01 1.989655362577990161e+01 1.784979711309787831e+01 1.630842255267342011e+01 1.125409762551618087e+03 2.200170532445690497e-01
2.532992699455031271e+01 1.685858670623425226e+01 2.135656331151060172e+01 1.421407469558617720e+01 9.332448958460017820e+02 1.860488330956402425e-01
5.451375576913454069e+01 9.151004481508971722e+00 4.667895848204742748e+01 7.835808636455077192e+00 8.328420215066860237e+02 1.678443037691243755e-01
2.991544260495061991e+01 1.520108826234158350e+01 2.594286575149967078e+01 1.318248228095290209e+01 7.530314124899291528e+02 1.531279116001788565e-01
2.489938868220885482e+01 1.698137204375711562e+01 2.186925379391036373e+01 1.491482139314891953e+01 6.752249403325795356e+02 1.385568486631331697e-01
2.286118442987027777e+01 1.876035009958146205e+01 2.015134708358917948e+01 1.653660279177661252e+01 6.536446391409980379e+02 1.344742530134836189e-01
2.381726219443213211e+01 2.070845825419664621e+01 2.058902801487209189e+01 1.790159690311246976e+01 7.727984319740813817e+02 1.567939087376144514e-01
3.341815698730240314e+01 1.330044607189573647e+01 2.724708263831613309e+01 1.084435486328906784e+01 1.162698755492413056e+03 2.264856913638239044e-01
2.311349455171322376e+01 2.014435687989586299e+01 1.794748843774344493e+01 1.564197103033519554e+01 1.526977057722575410e+03 2.878400580610323556e-01
3.755220164357690038e+01 1.231041590504221617e+01 3.043511052479562551e+01 9.977281018894583298e+00 1.205385647879050339e+03 2.338447600833565843e-01
5.372058853953315349e+01 9.333823116200594683e+00 4.770831680975621225e+01 8.289205356457060248e+00 6.092731039323955429e+02 1.260214598169905054e-01
2.795813875116560610e+01 1.629806071992413763e+01 2.287672168995223387e+01 1.333587341038940366e+01 1.137518326713537590e+03 2.221217327413306242e-01
3.816424230653101546e+01 1.178259683213238596e+01 3.261570863435674994e+01 1.006957617935363025e+01 8.452839521937279414e+02 1.701184461259734604e-01
5.146443146609805552e+01 1.278434072943382205e+01 4.324926587810985268e+01 1.074360165909655862e+01 9.549941656067128406e+02 1.899492493385009362e-01
3.507783314954833997e+01 1.306621244983248431e+01 2.781939890709506003e+01 1.036250371558147343e+01 1.364781019106828126e+03 2.609126914169986322e-01
5.055176905998420267e+01 9.894425587662613708e+00 4.313200338462057459e+01 8.442165444883713121e+00 8.557348601882837329e+02 1.720246010647693002e-01
2.133772425650029092e+01 2.027987429108610584e+01 1.747444159407785236e+01 1.660811971205727389e+01 1.131533073184069735e+03 2.210818950421693796e-01
2.461095195855319417e+01 1.703629402287807082e+01 2.030231837336842915e+01 1.405375402533260143e+01 1.080776467060555660e+03 2.122237227269875293e-01
2.707866341662735366e+01 1.580741662276333415e+01 2.331436488235562976e+01 1.360997303745133280e+01 7.980591597326840656e+02 1.614583349478482255e-01
3.286869707634087945e+01 1.817512034470091109e+01 2.473844571772863787e+01 1.367940527171707110e+01 1.779415016167834892e+03 3.286484305190504607e-01
2.507591012933224306e+01 1.736445414850674496e+01 2.039239426205206840e+01 1.412123401764260144e+01 1.181133616909170087e+03 2.296697389769315756e-01
2.130715424180426254e+01 2.103792480532091602e+01 1.713073543401344168e+01 1.691427770366126637e+01 1.263557569707836592e+03 2.437968191078620783e-01
3.501065215285904486e+01 1.730591550248333732e+01 2.973570684433682487e+01 1.469848741485625077e+01 8.852841284309764660e+02 1.773943137163672967e-01
2.183595613748329711e+01 2.048828384431697103e+01 1.798949828115130245e+01 1.687922180647685266e+01 1.089874404940861950e+03 2.138168500431257002e-01
3.198154098671511747e+01 1.395483422904231396e+01 2.679987437170904840e+01 1.169386441921954045e+01 9.740062611784804858e+02 1.933466755529283654e-01
2.916557899590559089e+01 1.658748209803264828e+01 2.527177133823642663e+01 1.437293786341152391e+01 7.581434633721376031e+02 1.540773539596645980e-01
2.824030748396853596e+01 1.761251484315774718e+01 2.207004163934544394e+01 1.376433086582869336e+01 1.476824464421827315e+03 2.795765384340294646e-01
4.275465360971102058e+01 1.097415522845215108e+01 3.581306744043072854e+01 9.192406629837476473e+00 9.767065473378330580e+02 1.938283052918182980e-01
2.738916255925133569e+01 2.106548974541517438e+01 2.159315005279882271e+01 1.660767393031524364e+01 1.409636647847488348e+03 2.684190353088966030e-01
3.417466312649798255e+01 1.364893880472340904e+01 2.927497945389701783e+01 1.169206559832800174e+01 8.302377389340857690e+02 1.673676212247085238e-01
2.903355871507591601e+01 1.613004289695441429e+01 2.370878722854447673e+01 1.317178368604916017e+01 1.151751873906707033e+03 2.245906311108406272e-01
2.537050947098832410e+01 1.660502678400187548e+01 2.100202378469140996e+01 1.374584802334519118e+01 1.056738607945133708e+03 2.080030825163213803e-01
3.259331682709676414e+01 1.386842684998611652e+01 2.646469630898194936e+01 1.126070435897107380e+01 1.192202615757353442e+03 2.315772093721249758e-01
2.223453509419574914e+01 1.897233151043810295e+01 1.802575002148442351e+01 1.538105041023163722e+01 1.203306134227395205e+03 2.334873759868511256e-01
3.133999343323925757e+01 1.501879166737900562e+01 2.424448181217988463e+01 1.161847152892188362e+01 1.556413038084916252e+03 2.926650144980516566e-01
3.823319927543019503e+01 1.192625919800709156e+01 3.371000483355835797e+01 1.051531817452295137e+01 6.520907956036159021e+02 1.341795844944227156e-01
2.571562828457711447e+01 2.201696061451510644e+01 2.119041916247720181e+01 1.814261035905306230e+01 1.088348242107136912e+03 2.135497692331116137e-01
2.911797786247677067e+01 1.444821957841390336e+01 2.593859123014860302e+01 1.287062114745459418e+01 5.912947111413124048e+02 1.225736048699802155e-01
3.660657980125720456e+01 1.069725053488578048e+01 3.073087849341250077e+01 8.980240934441976464e+00 9.619783346881165471e+02 1.911986118165877602e-01
2.336490448896000771e+01 1.948596459188845387e+01 1.910179245813958815e+01 1.593059589251835462e+01 1.143607638111126107e+03 2.231786383483523872e-01
3.775603638953113261e+01 1.350771739814477002e+01 3.133301924268497984e+01 1.120979874037240442e+01 1.039647349711664447e+03 2.049919638161162572e-01
2.519144358984524956e+01 1.938248199200177879e+01 2.197807393675949328e+01 1.691009174519249569e+01 7.159281901806602946e+02 1.462079735618336540e-01
2.956612414847277037e+01 1.426506943933113725e+01 2.433825490943969427e+01 1.174272605268868297e+01 1.095498466208286118e+03 2.148004965222641005e-01
3.697375576229077865e+01 1.250610346559729713e+01 3.058714532784065199e+01 1.034587902420698136e+01 1.061272740846365878e+03 2.088004737283209455e-01
2.100985965935561239e+01 1.961424236200507565e+01 1.774942502367568409e+01 1.657038789621740449e+01 9.201454803830259834e+02 1.836924087023034946e-01
3.832521588157138126e+01 1.648789632013115281e+01 3.176911522438704338e+01 1.366739536759830465e+01 1.047446771346618561e+03 2.063671150700368551e-01
2.790709836814915690e+01 1.734824361219125777e+01 2.439946982991723345e+01 1.516775198315925977e+01 7.028598930369297477e+02 1.437583915832086612e-01
3.193949051785976678e+01 1.400337110952054687e+01 2.537010068883930103e+01 1.112312467329631360e+01 1.353052483388476958e+03 2.589422056141243988e-01
2.151208132812068285e+01 1.827144034072318846e+01 1.910865060087666834e+01 1.623006923970865500e+01 6.079966367596970258e+02 1.257771036503094464e-01
3.559006992123529756e+01 1.325025761591119178e+01 2.965890001832077161e+01 1.104207063141569556e+01 1.011303620437787913e+03 1.999794294208735723e-01
2.219128729182248705e+01 1.950625071900824636e+01 1.702338031965452458e+01 1.496363506242277630e+01 1.623395388578489019e+03 3.035770143842289048e-01
4.363539341247180658e+01 1.280940132219756400e+01 3.795854609118728717e+01 1.114293266232312796e+01 7.338339327944652268e+02 1.495538661477474052e-01
2.269026942436771677e+01 1.843734703374137140e+01 1.866057802667086918e+01 1.516295582451096813e+01 1.102058758746627973e+03 2.159467617743328349e-01
2.687006653738077233e+01 1.541052254953873657e+01 2.189948840663995355e+01 1.255979621205597851e+01 1.165512919886506552e+03 2.269723401042434696e-01
2.710377606412076545e+01 1.645527920190887627e+01 2.234641801835825348e+01 1.356698589837544588e+01 1.084587212589287219e+03 2.128913028412069419e-01
3.519452687282151260e+01 1.290292757085988562e+01 3.062864621940410004e+01 1.122899606494354430e+01 7.312524857057705958e+02 1.490722319462098877e-01
2.820234168667805363e+01 1.877873904916888392e+01 2.474088821191864440e+01 1.647390449835388182e+01 6.823894690464388759e+02 1.399082136870047899e-01
5.773946473562057946e+01 8.178903747285575676e+00 4.893360582191538555e+01 6.931537274507389768e+00 8.994330546371649007e+02 1.799552427375260000e-01
3.002438214439267838e+01 1.523391882188126800e+01 2.493811358736038741e+01 1.265322284181135259e+01 1.033776253105464093e+03 2.039556255614383418e-01
3.569034270426844557e+01 1.287817603721849480e+01 2.990019872581287785e+01 1.078891357052681066e+01 9.757011907868790104e+02 1.936490132240134554e-01
3.383206071629496137e+01 2.248421508851508577e+01 2.931423910975092895e+01 1.948174729369489810e+01 7.583568529273677541e+02 1.541169664895463698e-01
3.504342226903818869e+01 1.301829385316023213e+01 2.912356016590647556e+01 1.081912209884084497e+01 1.029878870941513469e+03 2.032671167058003880e-01
3.407708862982470066e+01 1.468714857307902122e+01 2.828733361532885837e+01 1.219177718078214490e+01 1.037860082307011680e+03 2.046765910576450742e-01
2.165393588830368188e+01 2.016486665176099535e+01 1.727377251408694292e+01 1.608591256186194940e+01 1.321193493463259074e+03 2.535730611622140085e-01
2.828466065601292101e+01 1.610490005922767054e+01 2.236510734217565854e+01 1.273438712735862666e+01 1.387246762009953500e+03 2.646780640607206414e-01
4.030747316647622114e+01 1.411310407936618816e+01 3.369092472703779606e+01 1.179641118258528287e+01 9.910879394996960627e+02 1.963896358751020532e-01
3.403740783336034070e+01 1.302796315027348761e+01 2.801609759065121708e+01 1.072328095054693264e+01 1.096200568840479491e+03 2.149232320178093292e-01
2.391930938881733226e+01 1.802920123877846592e+01 1.913561576087169414e+01 1.442348780947621023e+01 1.300007484564495371e+03 2.499890093804707780e-01
3.907063098662828793e+01 1.017316650468970884e+01 3.289784729000879793e+01 8.565904099210873923e+00 9.420788991182583914e+02 1.876348820700553255e-01
2.220356690621810358e+01 2.004494234190235957e+01 1.971263270571622428e+01 1.779617606766244009e+01 6.110543394244924684e+02 1.263623300696696261e-01
2.842002973078051298e+01 1.535832277931308276e+01 2.393547510457698735e+01 1.293484757104826954e+01 9.405478069374935330e+02 1.873601675592385107e-01
2.698746375932521246e+01 1.709109857645273323e+01 2.396887400044184702e+01 1.517943264181596597e+01 6.088365887062232105e+02 1.259379042514771063e-01
2.145835719839870137e+01 1.922884545217393537e+01 1.770259940757255279e+01 1.586330887135015111e+01 1.080404564487622110e+03 2.121585482649268606e-01
3.183092936476657187e+01 1.584127764054712806e+01 2.414221984925878317e+01 1.201484264278379221e+01 1.715757355266758395e+03 3.184756647696525556e-01
2.448786424346875634e+01 1.700049092282524654e+01 2.076597868984977779e+01 1.441660361681121394e+01 8.954222521621687747e+02 1.792299611401509951e-01
2.550862486581612032e+01 1.925544197403737456e+01 2.197924011879547024e+01 1.659125040911373716e+01 7.932827622925733522e+02 1.605781058828556485e-01
5.090895963924950252e+01 9.679867134125125006e+00 4.190722607787304099e+01 7.968270875463027814e+00 1.095504006694640793e+03 2.148014651375211026e-01
2.305375244653976452e+01 1.936940923898420053e+01 1.878627398728939468e+01 1.578393928620969078e+01 1.166594884056973569e+03 2.271593857375709957e-01
2.764124653112211050e+01 1.660357724785311717e+01 2.296559548714209598e+01 1.379500154902135733e+01 1.031727334509932234e+03 2.035937211642432632e-01
3.660415585212905398e+01 1.101255169647408927e+01 3.213024472606152671e+01 9.666552139476150884e+00 6.788612972107836185e+02 1.392429831833381093e-01
3.776142571997716857e+01 1.278659083785043649e+01 3.089048370644474417e+01 1.045998577666609819e+01 1.139288516556072636e+03 2.224290845953610929e-01
2.898173842933051603e+01 1.394772928657356736e+01 2.442503108920768540e+01 1.175477179462907529e+01 9.360844685646541166e+02 1.865589166900275819e-01
4.518452070591791880e+01 1.173488859683949137e+01 3.682574791217291477e+01 9.564028620714006834e+00 1.165567360578802891e+03 2.269817523782584612e-01
3.024209177500839729e+01 1.474892479486013208e+01 2.371459183776959634e+01 1.156549401933592236e+01 1.450713455837927086e+03 2.752524682648184728e-01
2.745097459304911780e+01 1.668725304539612253e+01 2.174968204320522958e+01 1.322147768129787160e+01 1.372049519243552140e+03 2.621322251294710415e-01
2.850647909284590753e+01 1.557407989557072447e+01 2.317482870278920615e+01 1.266121405621026952e+01 1.183409094254325964e+03 2.300621272516680527e-01
3.004424789668210849e+01 1.406945993486520052e+01 2.395604188427660475e+01 1.121840602060815151e+01 1.324555040698819084e+03 2.541407316707631203e-01
3.325114991889159199e+01 1.432382985980911094e+01 2.863424249514973852e+01 1.233497243450258907e+01 7.968592425723199995e+02 1.612372817099630429e-01
2.223904471255245241e+01 1.968994950324374926e+01 1.845434988151003353e+01 1.633906590767495715e+01 1.040169937762508653e+03 2.050841593089345050e-01
2.698128116736362969e+01 1.775902152813467083e+01 2.189227418928181734e+01 1.440944802493496368e+01 1.197312931156451896e+03 2.324567531943906584e-01
2.372659837643109171e+01 1.916586785781348823e+01 1.865075351189496899e+01 1.506570270151797075e+01 1.432049196576056602e+03 2.721522678050987687e-01
2.396704653875835334e+01 2.109314329887331851e+01 1.852454574437376777e+01 1.630325611045659784e+01 1.563350025091907355e+03 2.937994199419204921e-01
4.378463059385207146e+01 1.128145932983945521e+01 3.873609865203509628e+01 9.980664804351308206e+00 6.318453927316725185e+02 1.303314509591620707e-01
2.818191702679237309e+01 1.649201924757219118e+01 2.198887269206472439e+01 1.286785818456514185e+01 1.489343951718582730e+03 2.816444672474081035e-01
2.602750619243898100e+01 1.624412100074956200e+01 2.351650748441377559e+01 1.467697251774443679e+01 5.098231979518112666e+02 1.067760044593968477e-01
3.090838868816146601e+01 1.258576345804427454e+01 2.636401945359304477e+01 1.073531577442890494e+01 8.576314233918868695e+02 1.723701214288508865e-01
2.503378776172701947e+01 1.901667554536470917e+01 2.237425395599454347e+01 1.699638632797084625e+01 5.720393163716348681e+02 1.188658093790845860e-01
3.551720322796168716e+01 1.243674337381993489e+01 3.010174466625040779e+01 1.054046038241209970e+01 8.991558854689413920e+02 1.799051391125182364e-01
3.120786777922453936e+01 1.618175134632459589e+01 2.503391824560128143e+01 1.298046515514313803e+01 1.280171767364122161e+03 2.466233800499082474e-01
5.487901075626527359e+01 1.453211852246536040e+01 4.343443832907230728e+01 1.150156311231850559e+01 1.380155105168467344e+03 2.634907430017963126e-01
3.186501190395907557e+01 1.278064214805409016e+01 2.523187993140003016e+01 1.012017911990250418e+01 1.376551450373749731e+03 2.628869505797065131e-01
2.678512382368106159e+01 1.620261939007187735e+01 2.171946140350098986e+01 1.313834383573589903e+01 1.201817628537188739e+03 2.332314934551523167e-01
3.091645031496025453e+01 1.453249358408588243e+01 2.556307369932524765e+01 1.201610148449658055e+01 1.064788416387372308e+03 2.094183461113407474e-01
2.321368075597176173e+01 1.998902177682659342e+01 1.954905395879298524e+01 1.683345564223569824e+01 9.410930877755346273e+02 1.874580122855747100e-01
2.316279477370767736e+01 1.908273348375459832e+01 2.002222768053694679e+01 1.649536846963053449e+01 7.731232413220676563e+02 1.568540295954975183e-01
2.672237298286099261e+01 1.593067412334766964e+01 2.218357321970760765e+01 1.322484631440647540e+01 1.037436496862607783e+03 2.046018338975783279e-01
2.358573764590890320e+01 1.826622563845695169e+01 1.881164962460472623e+01 1.456888234039297281e+01 1.322439998070595266e+03 2.537835924319947756e-01
2.787683816207124821e+01 2.280003831127497449e+01 2.128266157620916843e+01 1.740676243418759128e+01 1.662082462549068168e+03 3.098379665649236836e-01
