# mass1 mass2 srcmass1 srcmass2 distance redshift
3.525961031424291292e+01 9.355943951732973218e+00 3.027248653698426395e+01 8.032638046632285977e+00 8.159111664426280868e+02 1.647411345336901589e-01
3.741693223282792502e+01 9.024009691175864489e+00 3.178466787348807898e+01 7.665651185307895688e+00 8.842157215028829569e+02 1.772006673707538782e-01
3.668247469589559273e+01 9.359877672413848160e+00 3.246056625644396121e+01 8.282618112774040142e+00 6.304346336137607523e+02 1.300626860941931362e-01
3.925960874603584472e+01 8.464260740140479911e+00 3.328046002317907437e+01 7.175173166147583714e+00 8.977969039793878210e+02 1.796594373603138117e-01
3.874672395135019798e+01 8.795429072688596861e+00 3.368535696392016376e+01 7.646508859338866593e+00 7.375900276412542098e+02 1.502542185570773514e-01
2.871685906931909926e+01 1.116725643917002131e+01 2.581438256862583458e+01 1.003855711611153012e+01 5.388437354040652281e+02 1.124364099345480095e-01
3.382990943810978024e+01 9.746227086531959571e+00 2.944259880572598576e+01 8.482264917180147634e+00 7.309315815030070098e+02 1.490123430113293179e-01
3.883477581049220362e+01 8.756130157669824499e+00 3.377649770414304697e+01 7.615633256412613683e+00 7.349248498165480896e+02 1.497573298053547219e-01
3.170586383841935074e+01 1.002226456128430954e+01 2.734617181956361520e+01 8.644160276178977753e+00 7.870379293218492194e+02 1.594260449916718725e-01
3.104718616779769036e+01 1.043242824727122731e+01 2.775336463330135928e+01 9.325643347917262460e+00 5.710862598477127676e+02 1.186818815670394184e-01
3.533917489853361360e+01 9.451242985875540015e+00 3.074434601942376588e+01 8.222384521022494397e+00 7.332921808117342835e+02 1.494528091834156636e-01
3.690005583421142887e+01 9.103198444167977854e+00 3.148167693266293554e+01 7.766491025401468740e+00 8.562153170191157869e+02 1.721121436173179975e-01
3.508397780829881185e+01 9.512861454001535932e+00 3.025775234139153724e+01 8.204252308729449439e+00 7.874589892635885917e+02 1.595037665869571131e-01
2.768613482123311087e+01 1.141441815732413545e+01 2.459182611499173632e+01 1.013869896759454470e+01 6.082557678820539877e+02 1.258267154204954774e-01
2.665150885366453792e+01 1.163313934157293517e+01 2.407263568982078539e+01 1.050748484208622280e+01 5.116264553145904870e+02 1.071288244907158266e-01
3.667842659006208095e+01 9.349215928013119736e+00 3.154253799021845239e+01 8.040094028133996318e+00 8.054794316598813566e+02 1.628242027143248505e-01
3.331748621469085236e+01 9.648353539653292898e+00 2.894698572573988216e+01 8.382707818637488373e+00 7.415011505444464319e+02 1.509829220340785649e-01
3.222232549920301636e+01 1.022269640909628663e+01 2.795707745034601288e+01 8.869524804084914393e+00 7.499984623002812896e+02 1.525641604145649144e-01
3.238493780587041471e+01 9.802548193531245957e+00 2.797398675412060243e+01 8.467404043393431223e+00 7.775901622574704106e+02 1.576804582957797851e-01
3.219545562363695268e+01 1.030772963153265920e+01 2.867860545116724680e+01 9.181771323745504532e+00 5.915868998515982184e+02 1.226297484533568211e-01
3.680408935378705593e+01 9.260181868391363480e+00 3.134616601556261628e+01 7.886927873438343006e+00 8.672342134390022466e+02 1.741177321499129405e-01
4.059397503749212888e+01 8.462601334609882286e+00 3.532115060008426610e+01 7.363378824866522621e+00 7.323785163577770163e+02 1.492823520136199456e-01
3.137999466833174367e+01 9.919849077803965187e+00 2.724155488185957097e+01 8.611604811567264761e+00 7.465159389672285215e+02 1.519164307771580513e-01
2.917572773038199330e+01 1.114336638116917122e+01 2.516090057154347548e+01 9.609944819196693189e+00 7.877967937487364907e+02 1.595661151882303841e-01
3.642381405768314551e+01 9.073622124493313734e+00 3.158793565269723658e+01 7.868945063015072350e+00 7.528412514200116448e+02 1.530925749043995643e-01
4.055935221304217464e+01 8.576904174904267819e+00 3.579529478498918849e+01 7.569470332531109236e+00 6.463586748490178024e+02 1.330917221570361852e-01
3.400769112437468777e+01 9.658406438565030783e+00 2.862558801818616772e+01 8.129853997185849224e+00 9.442104334009582089e+02 1.880172069397914036e-01
3.919131843360204925e+01 8.637743794394094010e+00 3.419101661666623215e+01 7.535680181440892689e+00 7.161317094493471131e+02 1.462460702177087735e-01
2.886012066995784764e+01 1.116288422405355618e+01 2.429403319394181437e+01 9.396754884728713009e+00 9.438411829491689105e+02 1.879509853125037322e-01
3.798816653023270362e+01 8.936585676816379831e+00 3.312610963742179848e+01 7.792803495236737099e+00 7.189536559068941415e+02 1.467741592969418196e-01
2.887036523069636829e+01 1.100913514192600751e+01 2.591655266644050215e+01 9.882757922796262307e+00 5.467599041159825219e+02 1.139739764880372125e-01
3.295973693324577170e+01 9.988235764093360558e+00 2.856716899978963298e+01 8.657096373690594149e+00 7.564492613670711307e+02 1.537628013993438125e-01
3.314881552287568667e+01 1.036799584840518484e+01 2.886383101940152329e+01 9.027775968999772971e+00 7.279470373925065587e+02 1.484551548473905525e-01
3.870871405303696378e+01 8.554545450511463756e+00 3.338256441681735254e+01 7.377477437432092167e+00 7.877032285790527339e+02 1.595488462095626114e-01
3.949334657952122285e+01 8.642087028827981854e+00 3.398466824473646142e+01 7.436656704325806722e+00 8.015060012621152055e+02 1.620930442844015495e-01
4.176884261101682938e+01 8.527736654056402799e+00 3.579179414807227033e+01 7.307432425490588024e+00 8.282025268165737089e+02 1.669949385106887785e-01
3.566329426016609006e+01 9.361151832055272237e+00 3.103630288356793443e+01 8.146626654264137457e+00 7.313112609222876017e+02 1.490832008553409638e-01
3.539660513876601300e+01 9.335597437099433904e+00 2.998102175667832014e+01 7.907276666109849472e+00 9.031876305488773369e+02 1.806337164236693771e-01
3.471181648215240045e+01 9.565066790094196136e+00 2.964942996581111245e+01 8.170093260807025359e+00 8.486974538218177031e+02 1.707414450186310328e-01
3.675970391521163805e+01 9.130237215837706088e+00 3.227467166918795272e+01 8.016261749078513077e+00 6.773848472513167280e+02 1.389644577021511285e-01
2.941430528680429646e+01 1.071307441501874536e+01 2.591697830665350466e+01 9.439302220615889638e+00 6.561199521905335814e+02 1.349434698277670874e-01
3.303452733414309961e+01 1.002370084332835987e+01 2.813729491858897802e+01 8.537728539343579115e+00 8.668492647608217112e+02 1.740477337897450572e-01
3.462577752613943716e+01 9.648459238690422879e+00 3.024572118624204364e+01 8.427958268661248198e+00 7.084964824955047789e+02 1.448157348580519921e-01
3.867779169653130111e+01 8.774683246146098625e+00 3.326586567064604338e+01 7.546900207204497946e+00 8.047339358134842087e+02 1.626870642558014834e-01
2.788554164285824655e+01 1.122787907644787708e+01 2.457670332203367636e+01 9.895603124072753332e+00 6.544825983204777913e+02 1.346331229810675267e-01
3.232683539572023079e+01 1.018411512425930354e+01 2.796202216512213568e+01 8.809042065230885399e+00 7.690397410666092810e+02 1.560979104022903186e-01
3.777009408645960065e+01 9.000842714711556170e+00 3.257905303721032908e+01 7.763786119010508635e+00 7.865543179484678831e+02 1.593367690374640766e-01
2.746818996451028738e+01 1.204353917731005374e+01 2.434438896992429235e+01 1.067389597515422217e+01 6.212821678224689776e+02 1.283170835975887547e-01
3.545389811243196476e+01 9.297887837323120408e+00 3.001770251330113837e+01 7.872229739525850256e+00 9.057675453298020329e+02 1.810996560020539103e-01
3.389592862630249215e+01 9.628031257389645603e+00 3.022592626758293832e+01 8.585578701685758318e+00 5.852899657560100195e+02 1.214190204207438867e-01
3.189946831393465487e+01 1.021595865324150765e+01 2.705853418875688732e+01 8.665626140511864861e+00 8.936316905058049542e+02 1.789060002810213823e-01
3.450612140196876965e+01 9.923330711853862951e+00 3.051723264837202265e+01 8.776199111242366513e+00 6.338299096190455657e+02 1.307093863836810144e-01
3.223588398376895725e+01 9.974561445849284169e+00 2.958451097141092490e+01 9.154162568593500637e+00 4.230511574220122952e+02 8.962030891503307284e-02
2.920501458238094017e+01 1.082517755112479918e+01 2.515040914359137147e+01 9.322290995432654270e+00 7.967344696970288851e+02 1.612142933993871430e-01
3.826830906808419996e+01 8.992949686946387189e+00 3.267231961084484482e+01 7.677907218043401372e+00 8.516289620527762736e+02 1.712761604897466428e-01
3.750045472523206058e+01 9.065317883235572083e+00 3.267994873257698885e+01 7.900014168876682952e+00 7.228698908381450110e+02 1.475065347287328188e-01
3.567511722628662341e+01 9.410514253135966456e+00 3.132266380756108504e+01 8.262408006610526101e+00 6.773368638515926250e+02 1.389554044785578646e-01
3.500464447045964533e+01 9.581229312491434058e+00 3.072750147068589044e+01 8.410519296632452679e+00 6.786118122643832749e+02 1.391959253131646035e-01
3.099478305738223938e+01 1.046169820247735593e+01 2.697748567450803137e+01 9.105736048090795620e+00 7.303991382679737399e+02 1.489129651052059633e-01
3.432384099296246660e+01 9.417260937319653635e+00 3.040706358404863963e+01 8.342634268914361328e+00 6.238722977587307241e+02 1.288114321886886793e-01
3.531110186979399401e+01 9.393387622938652370e+00 3.118841327751476555e+01 8.296678374421169622e+00 6.415944186496789143e+02 1.321865449067738119e-01
3.176869414846950690e+01 1.014430399338759869e+01 2.821355726645771611e+01 9.009086124479090074e+00 6.092033298146678817e+02 1.260081048425038819e-01
3.328791897148145296e+01 9.891201125456507981e+00 2.928304111769964990e+01 8.701188245150598632e+00 6.657383115666198137e+02 1.367644104205118505e-01
4.064420288940968362e+01 8.483615387035909450e+00 3.547158792353686607e+01 7.403941711675800619e+00 7.138783670049758712e+02 1.458241727723888492e-01
3.983675999906179754e+01 8.613492587437654890e+00 3.425985302752174988e+01 7.407655394319516695e+00 8.052531123262160691e+02 1.627825713980730060e-01
3.377543377736190422e+01 9.780666153576394350e+00 2.946466621119693841e+01 8.532357139745640140e+00 7.164355734404188070e+02 1.463029492771521778e-01
3.709663503239564619e+01 9.024748692866486621e+00 3.179632706841402978e+01 7.735307013642465535e+00 8.265684360959370451e+02 1.666956045765065619e-01
4.229165376269592258e+01 8.309652653125398913e+00 3.709891778896553660e+01 7.289360741553251088e+00 6.827173646002288478e+02 1.399700121515371765e-01
3.926430739930012948e+01 8.646230129786630414e+00 3.356525265287965709e+01 7.391264943244653551e+00 8.434869404847282794e+02 1.697903127784600730e-01
3.297843041415978149e+01 9.757782760724989402e+00 2.852194109361340324e+01 8.439179839989520815e+00 7.698487467628766581e+02 1.562477569783732034e-01
3.322484073717065911e+01 1.018586747367525192e+01 2.887883008873837198e+01 8.853494239615244510e+00 7.388617869115349777e+02 1.504912295642843179e-01
4.122607417563293097e+01 8.328323124903640462e+00 3.609643233918941263e+01 7.292053832151613513e+00 6.940820597712943254e+02 1.421093859980818719e-01
3.693650406239991923e+01 9.119772084679768298e+00 3.123993692069574379e+01 7.713266641997593709e+00 9.126903530974041132e+02 1.823488682504454672e-01
3.463897485216878636e+01 9.538171449258365797e+00 2.914798102445419659e+01 8.026174030770039991e+00 9.462524159016443264e+02 1.883833334153685590e-01
4.200855884050874778e+01 8.245038002906907693e+00 3.642577917399179910e+01 7.149303424459494849e+00 7.537666513787831946e+02 1.532645229042371715e-01
3.756020518890969839e+01 8.994414373469002300e+00 3.251931134937483137e+01 7.787288699436977879e+00 7.631825657061984884e+02 1.550123182307724667e-01
3.295589418829719364e+01 9.941500531020736275e+00 2.942950616166698197e+01 8.877727591375283112e+00 5.770123376394150227e+02 1.198249133797379545e-01
3.780670362364138271e+01 8.967360308105551070e+00 3.315747095515557419e+01 7.864610253259278316e+00 6.840266955541385414e+02 1.402167455646345373e-01
3.532662716491420696e+01 9.406858080209225648e+00 3.045666594389350834e+01 8.110073254179672730e+00 7.895955123003724339e+02 1.598980410394235385e-01
3.228379090834464193e+01 1.004847830597417335e+01 2.902458496984910852e+01 9.034035477353032917e+00 5.380969332253432640e+02 1.122912159426644046e-01
3.877922071511692792e+01 8.828741531101302442e+00 3.325067948571457777e+01 7.570076177379966964e+00 8.242378091874655865e+02 1.662685188667367697e-01
2.657605961348096812e+01 1.155215338372602574e+01 2.365696748943848249e+01 1.028327453379073830e+01 5.955583278051291245e+02 1.233924899861191943e-01
3.778114328512933184e+01 8.758153539748484206e+00 3.253984370477824939e+01 7.543153079701475860e+00 7.959692308576985624e+02 1.610732868880199176e-01
3.633250887990427458e+01 9.202855226155470802e+00 3.124070532548951817e+01 7.913125108530124407e+00 8.063601561122341082e+02 1.629861906562115603e-01
2.720266180923363564e+01 1.151676851771309273e+01 2.385218739208198713e+01 1.009828092420276135e+01 6.853615857369071591e+02 1.404682246569922410e-01
3.229168431100082870e+01 1.018022189533015442e+01 2.773624972852663362e+01 8.744083277331549553e+00 8.131885154942269764e+02 1.642411871489947162e-01
3.793138309801427255e+01 9.028051564076696067e+00 3.233359316169088515e+01 7.695721127841093079e+00 8.617834749708587196e+02 1.731261325745788449e-01
2.714347526945723388e+01 1.147623975440437682e+01 2.393834489678844335e+01 1.012111318215370304e+01 6.505698400942112585e+02 1.338910599913193111e-01
3.797426590716034411e+01 8.920182996048476198e+00 3.266140207939985629e+01 7.672187374682849281e+00 8.046134804053137941e+02 1.626649038165881023e-01
3.250148030876655270e+01 1.007091078039227838e+01 2.784614241980704463e+01 8.628407482484178104e+00 8.292169297204806071e+02 1.671807110218668513e-01
3.470830044728188568e+01 9.452211432281949044e+00 3.000864919586156887e+01 8.172341870420641641e+00 7.718043813480243216e+02 1.566098900602440613e-01
3.981882209813127105e+01 8.479581924819578731e+00 3.463747359742275478e+01 7.376192452762319718e+00 7.340166374774552196e+02 1.495879451523867421e-01
2.691126706798781143e+01 1.184818977338892232e+01 2.374210865394947234e+01 1.045290837632217062e+01 6.484174834663748470e+02 1.334826009024751847e-01
3.352126190823017993e+01 1.002166560050248378e+01 2.830297591184499950e+01 8.461583602195689835e+00 9.239221284190031156e+02 1.843723434821314400e-01
2.950539864975852922e+01 1.108251926281684163e+01 2.644112449803408893e+01 9.931547614673535307e+00 5.566467021758726332e+02 1.158904626749996114e-01
3.901892107077696892e+01 8.680535988511069334e+00 3.414716333713604257e+01 7.596716467785016746e+00 6.970616971682026133e+02 1.426694711224445744e-01
3.736548856749098491e+01 9.129583367820369944e+00 3.341082925810607662e+01 8.163333674841156906e+00 5.694426607856265719e+02 1.183645960665712371e-01
