# mass1 mass2 srcmass1 srcmass2 distance redshift
1.370740122141696560e+01 9.484530932484132038e+00 1.153985233796642973e+01 7.984743766362726092e+00 9.431755187839684140e+02 1.878315961045046445e-01
1.647178184303627546e+01 8.037316431497258051e+00 1.490389608204432648e+01 7.272275095373764486e+00 5.017760041638581470e+02 1.051997244452664154e-01
1.221813495912468106e+01 1.054092566702158962e+01 1.101749029332495944e+01 9.505096040238065314e+00 5.210808087118570029e+02 1.089762399452390285e-01
1.202703390363984859e+01 1.062421972574525775e+01 9.878999177582604929e+00 8.726728366611681054e+00 1.110583399999999983e+03 2.174344473002444433e-01
1.282158440647827469e+01 1.020469322927659661e+01 1.065721813909937943e+01 8.482075096120098578e+00 1.028872357163392735e+03 2.030892339003771696e-01
1.245563290447297433e+01 1.066951897660677240e+01 1.088465815542652670e+01 9.323819000919318256e+00 7.059023799999999937e+02 1.443292684633592227e-01
1.168035828018050992e+01 1.129125773784448761e+01 9.968805993500929219e+00 9.636721332613809921e+00 8.539032700000000204e+02 1.716908010643812821e-01
1.444724190808655528e+01 9.045480377695476193e+00 1.310262240673414880e+01 8.203608317109155834e+00 4.886494299999999953e+02 1.026221667397919923e-01
1.339956048563487023e+01 9.699796128556176456e+00 1.130662150384852360e+01 8.184740358286735074e+00 9.280076325449425667e+02 1.851073710280259632e-01
1.348804325382648983e+01 9.692539907745596039e+00 1.126108971758689314e+01 8.092245809001957113e+00 9.987770699999999806e+02 1.977564864581157211e-01
1.193792152448045663e+01 1.091864012844702359e+01 1.062767588129917229e+01 9.720265635163137574e+00 5.950046298805021934e+02 1.232861876684477331e-01
1.147609625432064284e+01 1.137186665724389734e+01 9.643759185578515414e+00 9.556171463068817928e+00 9.552909263696485596e+02 1.900023666582470738e-01
1.524167398320851063e+01 8.416593048108394370e+00 1.256309674342662497e+01 6.937457974099694447e+00 1.086406977613188928e+03 2.132099508971300739e-01
1.292154656795223389e+01 9.898565356507225133e+00 1.066040531344397557e+01 8.166415542215160528e+00 1.080107569565248468e+03 2.121064995208675474e-01
1.262683011357013463e+01 1.033272060946868542e+01 1.075592434360371641e+01 8.801730928461561021e+00 8.662672101466446293e+02 1.739418863687899053e-01
1.486987569411673604e+01 8.845406555462407283e+00 1.284053210972419734e+01 7.638243199566069563e+00 7.795456318721957132e+02 1.580420162538052620e-01
1.345942789344725021e+01 9.702988410379903783e+00 1.082119100717599203e+01 7.801066416816595961e+00 1.263592799999999897e+03 2.438028202738249939e-01
