# mass1 mass2 srcmass1 srcmass2 distance redshift
1.281775359569134665e+01 9.767310552624630660e+00 1.156221006610746294e+01 8.810568524918112487e+00 5.191038749207687033e+02 1.085902714451006668e-01
1.180159248101239911e+01 1.044963744703086483e+01 1.097087257702049001e+01 9.714082323371565408e+00 3.540718026678650290e+02 7.572049517117981909e-02
1.220291524051275367e+01 1.003620533362000700e+01 1.086203391025131282e+01 8.933406527491785099e+00 5.958402831688308652e+02 1.234466161071317986e-01
1.621979663122998616e+01 7.868724993198835449e+00 1.512393389169763047e+01 7.337088085306255891e+00 3.380595704003408173e+02 7.245884221524766244e-02
1.522833091649701487e+01 8.383363062544775701e+00 1.363979399593952913e+01 7.508856078403558953e+00 5.596066862808218048e+02 1.164634100068067113e-01
1.422283326235822365e+01 8.704169115274227764e+00 1.286811268831359101e+01 7.875099635029844336e+00 5.021718585631701330e+02 1.052773321821269675e-01
1.438001971570690074e+01 8.592949683295461938e+00 1.294939363826035716e+01 7.738062267134211858e+00 5.287825158326368182e+02 1.104782291287838281e-01
1.262214846605053431e+01 9.759974288250937491e+00 1.151459535270600476e+01 8.903567794682157199e+00 4.560526701470976718e+02 9.618688971855596237e-02
1.563001964458932846e+01 8.124785794077657997e+00 1.355316485690749850e+01 7.045196602316097234e+00 7.536218751983135462e+02 1.532376245407612303e-01
1.472850316602877641e+01 8.481510578592130756e+00 1.385863349215370732e+01 7.980590100944085385e+00 2.908761575159725794e+02 6.276734819255878894e-02
1.232147689556475001e+01 9.980415799555091283e+00 1.077496681698463021e+01 8.727740186618776264e+00 7.016328654963886038e+02 1.435280595149814875e-01
1.452363593546498244e+01 8.679829783208342420e+00 1.325075256807059354e+01 7.919110428085880393e+00 4.554185881601589472e+02 9.606121319188819230e-02
1.494665286477592936e+01 8.512594936129525891e+00 1.423634472827343345e+01 8.108051825334975149e+00 2.291235706589008316e+02 4.989399667260251137e-02
1.445340208796674197e+01 8.766041674640087322e+00 1.295796368231566298e+01 7.859052766007376789e+00 5.541500159538219350e+02 1.154068989784231003e-01
1.200446936210955862e+01 1.033572058571766661e+01 1.120249464606545331e+01 9.645228875354758813e+00 3.338002631609786022e+02 7.158893990864588497e-02
1.469528504666784841e+01 8.513571545642479421e+00 1.300030798729873283e+01 7.531602947052162378e+00 6.320990263114573509e+02 1.303797618506503664e-01
1.591611250478953998e+01 7.855268692418125198e+00 1.463299655848422454e+01 7.221997187286358866e+00 4.133827754806176813e+02 8.768647905964026268e-02
1.580433872199964540e+01 7.925099238006522384e+00 1.456816464431715197e+01 7.305218684102182891e+00 3.992654968866825698e+02 8.485448289910069164e-02
1.489662515301228751e+01 8.376062150166321274e+00 1.388034613247014271e+01 7.804629617593677793e+00 3.417762104884628798e+02 7.321712375491666591e-02
1.233493880102239970e+01 1.002756175551236950e+01 1.115101613731595975e+01 9.065103990980695414e+00 5.067364943631173446e+02 1.061717290269662967e-01
2.092793996135996437e+01 6.374813834496483089e+00 1.991139900660074957e+01 6.065167526560964362e+00 2.346408264289324563e+02 5.105321602074391202e-02
1.539974770453262387e+01 8.328620901468873683e+00 1.424604126287665729e+01 7.704663693305846550e+00 3.800533755322671823e+02 8.098435350333972604e-02
1.112557642511542433e+01 1.105533953158977134e+01 1.045717405818967194e+01 1.039115685666775768e+01 2.964474575398136835e+02 6.391806841947761386e-02
1.317497476200960982e+01 9.338897619629451086e+00 1.216157970353998508e+01 8.620566626952646416e+00 3.916745771803254570e+02 8.332758434125499269e-02
1.723579817991075913e+01 7.461584922987972490e+00 1.617870552539964990e+01 7.003956762645805689e+00 3.033362448340719197e+02 6.533851876168560169e-02
2.166132582808967655e+01 6.225710361506910040e+00 2.013890824815873160e+01 5.788150307374607451e+00 3.534585917363979206e+02 7.559583474790090851e-02
1.508021925738101388e+01 8.369804826638711504e+00 1.335171406995491772e+01 7.410451994052540847e+00 6.272696078734736602e+02 1.294594220914088711e-01
1.652301373109856542e+01 7.817475547573997652e+00 1.580874780082933384e+01 7.479537412605585800e+00 2.067846758459014893e+02 4.518168923105735091e-02
1.147012443467798626e+01 1.101350971245945054e+01 1.077450349965550558e+01 1.034558078390329783e+01 2.995676150541071365e+02 6.456176240925833032e-02
2.169682722808992636e+01 6.206515343742440294e+00 2.015539614752535869e+01 5.765579185092496672e+00 3.577968440266355969e+02 7.647733982910671913e-02
1.441040814793551483e+01 8.691038516671865111e+00 1.336480661488910293e+01 8.060427426166464571e+00 3.664636537527744622e+02 7.823544052493490442e-02
1.816933739962216521e+01 7.108386624344283256e+00 1.633583544243432328e+01 6.391065981245093397e+00 5.378233955833303526e+02 1.122380280854873846e-01
1.310136477249123921e+01 9.420632728161706382e+00 1.217329491017439658e+01 8.753297265728042120e+00 3.566193662750685576e+02 7.623818113049785072e-02
1.538127289969025924e+01 8.280303088969219516e+00 1.405779178243155592e+01 7.567824683904945005e+00 4.457662201465468570e+02 9.414573339410944874e-02
1.592285355455470430e+01 7.929767163901066951e+00 1.492435848769861551e+01 7.432504950985233450e+00 3.109417796055747658e+02 6.690371768267940056e-02
2.001233750141870615e+01 6.476435867482675413e+00 1.813676655471975607e+01 5.869459548482039324e+00 4.926707643048068235e+02 1.034126419965892413e-01
1.983781963871467724e+01 6.671102577837448422e+00 1.803072152681850682e+01 6.063407927304935718e+00 4.764689045307400193e+02 1.002232833116707550e-01
2.073616812805767395e+01 6.487279506680872387e+00 1.891894583688626597e+01 5.918764202609397174e+00 4.553773626016436538e+02 9.605304158270647208e-02
1.517475825356701158e+01 8.341348861368819811e+00 1.376075628719489785e+01 7.564092084352368239e+00 4.893306361216096434e+02 1.027561230546548410e-01
1.725516713461697194e+01 7.303023967482649148e+00 1.615623650347079021e+01 6.837915940695659778e+00 3.163704148511316703e+02 6.801897402963265338e-02
1.462005266665500258e+01 8.704596226492762767e+00 1.382882535729267737e+01 8.233509397436277411e+00 2.641160182857469749e+02 5.721580025197640224e-02
1.399337643188700397e+01 8.958521873862682838e+00 1.288826508921150626e+01 8.251032571005618266e+00 4.037020467535551234e+02 8.574554721104879484e-02
1.970264417607622676e+01 6.651205825639205038e+00 1.833995998748894607e+01 6.191191782212311701e+00 3.470968049275111298e+02 7.430137195047702148e-02
1.813964246784908596e+01 7.150137209843168584e+00 1.626149509436631746e+01 6.409824304309882592e+00 5.546130409078800767e+02 1.154965987188619342e-01
2.394696177758286737e+01 5.730338582708351503e+00 2.252876452940664009e+01 5.390974011762127205e+00 2.917623957040342475e+02 6.295051139289332964e-02
1.280107789902312376e+01 9.813395664779283933e+00 1.169118531626301483e+01 8.962544264143724959e+00 4.497363779099384260e+02 9.493413650848502028e-02
1.501953469123153972e+01 8.200249206257691270e+00 1.353447949589273058e+01 7.389450274255131568e+00 5.249126105743559947e+02 1.097238498007606089e-01
1.577659030734106338e+01 8.084885922738285657e+00 1.398459096833370197e+01 7.166556299717307787e+00 6.203598826491967202e+02 1.281409905420266560e-01
2.052328549063251373e+01 6.452055479788052494e+00 1.855132224982011024e+01 5.832114961997586278e+00 5.073798797152235807e+02 1.062977190659023935e-01
1.305394906075883910e+01 9.645535836868672774e+00 1.181377913094272181e+01 8.729176852612541282e+00 5.006379403380140047e+02 1.049765630515180348e-01
1.243783285886306089e+01 9.941030646073185650e+00 1.173943218304389724e+01 9.382828698809587920e+00 2.750636123065866059e+02 5.949186169565457566e-02
1.649305945442051424e+01 7.769708477723635376e+00 1.478650862959696788e+01 6.965770163674573467e+00 5.541799370697518725e+02 1.154126959631077837e-01
1.460698324373180235e+01 8.306318873394607394e+00 1.386572167043961556e+01 7.884797543930410768e+00 2.461233910669772058e+02 5.346000669207770506e-02
1.822181471042040002e+01 7.124005650197267059e+00 1.653728779686522898e+01 6.465422548525526558e+00 4.847876036918579530e+02 1.018623449169510503e-01
1.494127314944225482e+01 8.442251222561196755e+00 1.320896118791642593e+01 7.463444890010162425e+00 6.361273867851583645e+02 1.311467220534004441e-01
1.965226653747470564e+01 6.751333834092449138e+00 1.846832242689869474e+01 6.344602024498672499e+00 2.973617668687854234e+02 6.410674901644694557e-02
1.985393562198767370e+01 6.653848039033086081e+00 1.817884253574732512e+01 6.092457337497086733e+00 4.357092029175648236e+02 9.214520027589247209e-02
1.255392418204188765e+01 9.885446687354658479e+00 1.120306076275076279e+01 8.821724450414397012e+00 5.809305958868998232e+02 1.205798529436376970e-01
2.103525803783426795e+01 6.301348087063481707e+00 1.959680342721963697e+01 5.870442833007593286e+00 3.426854230538871775e+02 7.340251260655290821e-02
1.684271620947626147e+01 7.676979651038903896e+00 1.556575887303589312e+01 7.094937220045382631e+00 3.852662944528414641e+02 8.203630461296707033e-02
2.535283283191347081e+01 5.570146710390387668e+00 2.322314748615218960e+01 5.102243975358489614e+00 4.335009530348755220e+02 9.170528443791689521e-02
1.135130780261691008e+01 1.103441993948399791e+01 1.026334637709203079e+01 9.976830500808610225e+00 5.058829146972391300e+02 1.060045511036467741e-01
1.612711970141603146e+01 7.762755886828742291e+00 1.448209886153935955e+01 6.970928490174189918e+00 5.447814002498420223e+02 1.135899468443357097e-01
1.246116267350833517e+01 9.930917581741995903e+00 1.142394363137747426e+01 9.104306366440773957e+00 4.289275092868560364e+02 9.079343137530827834e-02
1.634656349479312709e+01 7.720035534610595995e+00 1.532624258760121627e+01 7.238165833817722827e+00 3.093356968800618461e+02 6.657345408439128975e-02
1.928701190516612840e+01 6.736805848404201491e+00 1.795021721355733035e+01 6.269873679708147129e+00 3.479364551810818398e+02 7.447234068004206231e-02
1.984203959234801928e+01 6.670013519101937405e+00 1.849075124301480244e+01 6.215770319137083000e+00 3.410996715300608457e+02 7.307914814135471615e-02
1.787349772823279181e+01 7.246953657599605414e+00 1.640454451705157624e+01 6.651354743023586202e+00 4.226767402214204594e+02 8.954550427500879151e-02
2.337365759729048165e+01 5.858385440966404012e+00 2.127698114616798364e+01 5.332873387726733583e+00 4.679529091785468609e+02 9.854200822564118667e-02
2.170564800026939167e+01 6.153696453754449180e+00 2.028073187309105663e+01 5.749723196719873641e+00 3.273005959620978160e+02 7.025960089088043037e-02
2.068323984190480758e+01 6.425438658665300729e+00 1.863790715482662463e+01 5.790037250673234048e+00 5.249978357997705416e+02 1.097404697902738674e-01
1.153673852510552145e+01 1.067786875472516073e+01 1.080828474349926260e+01 1.000364580540996684e+01 3.133454390615311809e+02 6.739772303319387092e-02
1.490307804867216213e+01 8.450589101052790042e+00 1.384814851717646533e+01 7.852405559899655607e+00 3.563250001248995886e+02 7.617838082738793981e-02
1.807275145930989524e+01 7.288878337553903464e+00 1.606920812276109345e+01 6.480834047396954567e+00 6.022810935883766206e+02 1.246821449596449000e-01
1.742169885941319762e+01 7.356176601903546164e+00 1.584053304581541077e+01 6.688541656794088297e+00 4.744130463822340857e+02 9.981771503677303037e-02
1.115957170679486765e+01 1.110227048146417239e+01 9.768472281098793175e+00 9.718313955490733846e+00 6.956654533327647414e+02 1.424070607629957519e-01
1.122283811091926609e+01 1.105575834286685932e+01 1.012668727449878325e+01 9.975926429136830365e+00 5.173298720782123610e+02 1.082437727864701132e-01
2.368984631057944412e+01 5.799766355250709715e+00 2.149909772528913265e+01 5.263425605243156724e+00 4.849766618712171748e+02 1.018995593807343336e-01
3.755971830841174608e+01 4.127834476954271636e+00 3.548640022977092912e+01 3.899975636895040676e+00 2.699314309241836440e+02 5.842570858741075179e-02
1.406660614572744805e+01 8.804955959072058747e+00 1.297836441433006271e+01 8.123773844600993499e+00 3.942723759665983039e+02 8.385045269616578367e-02
1.512511223298814222e+01 8.287198639995171590e+00 1.394652922714370646e+01 7.641441350217639261e+00 3.975380301507030367e+02 8.450726246287823540e-02
1.379457834695256579e+01 9.075622835157226120e+00 1.272188154452267916e+01 8.369882409428047509e+00 3.966019027754242643e+02 8.431903713894658980e-02
2.054625856328523881e+01 6.475060212184094333e+00 1.872129751749237414e+01 5.899932014512381251e+00 4.625848988763463012e+02 9.748047880162688528e-02
1.270544463570877092e+01 9.739667170635534887e+00 1.163646526581911189e+01 8.920215071671650620e+00 4.343005998377031460e+02 9.186461227445709421e-02
1.143076259926481342e+01 1.088120308270652536e+01 1.025390532502793306e+01 9.760925858057003524e+00 5.508721128134320679e+02 1.147716150025673704e-01
1.140959366955436494e+01 1.086178124133821576e+01 1.063523030101104005e+01 1.012459762603845448e+01 3.397859279866361817e+02 7.281115186285253005e-02
1.806508643919442747e+01 7.094421268882729947e+00 1.639615115617614904e+01 6.439006194723710941e+00 4.844111200511161428e+02 1.017882347583518032e-01
1.594723144589160491e+01 7.981729681529577292e+00 1.489645051740061277e+01 7.455804579471660531e+00 3.286658351385673313e+02 7.053901379147810291e-02
1.809147546072054880e+01 7.088971920381456293e+00 1.653087745477668236e+01 6.477466492471005033e+00 4.470715416064267629e+02 9.440503144573979266e-02
2.233316577246341339e+01 6.040613470599822676e+00 2.015468407246866178e+01 5.451383710855287390e+00 5.165331407287367256e+02 1.080881095511967011e-01
1.457052083797896813e+01 8.577673107502624461e+00 1.316753912382231384e+01 7.751737051155807912e+00 5.086608893972764918e+02 1.065485130489128990e-01
1.278222732988442090e+01 9.878728442760921880e+00 1.214290165604156257e+01 9.384626393455885562e+00 2.422555269600676127e+02 5.265015660608352716e-02
1.623101781072940142e+01 7.818869549265160757e+00 1.469735254814555248e+01 7.080066304748005912e+00 4.974430268244122431e+02 1.043497635073984547e-01
1.422624080725167239e+01 8.789455727503835192e+00 1.294291363042148646e+01 7.996572522623620394e+00 4.710451183799353885e+02 9.915288114214156068e-02
1.440509894182429562e+01 8.745508480775948001e+00 1.328743615294039770e+01 8.066961985655938250e+00 3.955836743828590443e+02 8.411425470041251906e-02
3.848234552317785528e+01 4.029262654168155322e+00 3.526779158669683056e+01 3.692685401664897782e+00 4.307003252825589925e+02 9.114701521865554990e-02
1.196480050205205181e+01 1.035317191522628733e+01 1.125138391845020180e+01 9.735850754214318670e+00 2.939720762270928276e+02 6.340700741994764744e-02
2.179911049209858476e+01 6.141978192060184583e+00 2.019039454383856480e+01 5.688716657603818838e+00 3.735858323601522102e+02 7.967729133608969505e-02
2.040260907795500600e+01 6.454643796482121942e+00 1.857102892659543514e+01 5.875198421796846482e+00 4.683762590465028097e+02 9.862566897069335869e-02
1.259710349551408548e+01 9.674031961353005471e+00 1.164550905148183624e+01 8.943248486477836323e+00 3.836655432827941468e+02 8.171342616501273137e-02
1.508030348418878575e+01 8.342538783933036939e+00 1.415324581650011204e+01 7.829683418936959072e+00 3.041270694781252359e+02 6.550141781667431773e-02
1.515197236149031568e+01 8.277346566255451066e+00 1.339931201832527030e+01 7.319888571533873289e+00 6.343177332864064510e+02 1.308022636362269620e-01
1.260009795445252045e+01 1.001108920798828272e+01 1.155032659718069610e+01 9.177019921889957743e+00 4.293951954487485523e+02 9.088672501503654300e-02
1.137673176579344059e+01 1.087448286003961151e+01 1.027800680284071611e+01 9.824263339750713087e+00 5.104598496555902898e+02 1.069005872470380897e-01
1.663026095397975368e+01 7.604531289493387192e+00 1.592483020396237059e+01 7.281958467219410203e+00 2.026092859509571156e+02 4.429753667589231975e-02
1.577652718038890534e+01 8.078516069781882081e+00 1.460191951253250409e+01 7.477047393439574030e+00 3.773684601735716342e+02 8.044200400147817620e-02
1.938786142284665104e+01 6.685631929052885170e+00 1.748429539229414331e+01 6.029213897411429990e+00 5.205514391197237956e+02 1.088729049608408578e-01
1.896425693760598818e+01 6.930947756345082311e+00 1.667744971870914839e+01 6.095178581989673106e+00 6.676173235199757983e+02 1.371197189898553659e-01
1.305345492051887391e+01 9.418326192375012340e+00 1.220786895794421412e+01 8.808219177204426487e+00 3.224480213591368170e+02 6.926564869656470780e-02
1.696652104625353630e+01 7.417502702652972957e+00 1.601866222177007870e+01 7.003113366549682084e+00 2.735238896297534552e+02 5.917215878335177481e-02
1.924111763803923836e+01 6.837622226425376759e+00 1.722751072748133438e+01 6.122056549528579694e+00 5.617767589181191852e+02 1.168832190796895015e-01
1.757502208152021339e+01 7.402272932967887797e+00 1.643239327675389205e+01 6.921018898991756707e+00 3.237631009924700720e+02 6.953514229620712250e-02
1.380388136166745205e+01 9.000942735257556393e+00 1.274659700683338492e+01 8.311531135475767940e+00 3.897817949436149547e+02 8.294640163702235447e-02
