# mass1 mass2 srcmass1 srcmass2 distance redshift
3.910462481436736937e+01 3.391660696256206364e+01 3.304726531261461275e+01 2.866287847322985982e+01 9.179327297974241446e+02 1.832938200620361779e-01
4.936397342269265209e+01 2.478063625864372455e+01 4.181514111162564973e+01 2.099113442749545655e+01 9.026062174449575650e+02 1.805286819651133468e-01
3.873951401997263133e+01 3.029228827282564396e+01 3.172010332983061431e+01 2.480347362167875858e+01 1.132742983329503886e+03 2.212921760422116302e-01
4.153341904423292874e+01 3.535834415465746616e+01 3.366621343559844348e+01 2.866081310985477160e+01 1.204441542115167294e+03 2.336825204201833650e-01
4.784523892163528558e+01 2.758250309377604026e+01 3.927439918365722349e+01 2.264146363160005038e+01 1.115145000427777632e+03 2.182296843778208095e-01
4.419313173206549550e+01 3.271044427045136871e+01 3.495462618557944268e+01 2.587237670256000044e+01 1.384987523117362116e+03 2.642999383668821478e-01
5.346149278869738453e+01 2.853612659124513584e+01 4.413174385902291874e+01 2.355618902059034525e+01 1.076116218432558298e+03 2.114067588055884295e-01
3.866812815891139365e+01 3.298055686897143346e+01 3.199540413540858097e+01 2.728930247921454466e+01 1.059862793992028173e+03 2.085525782160150277e-01
4.164345663900048322e+01 3.439832511513881741e+01 3.559851762086672267e+01 2.940508501383045470e+01 8.435877752863736987e+02 1.698087286249922168e-01
4.143708188130193548e+01 3.218889256182190906e+01 3.513261754641779788e+01 2.729149834577323475e+01 8.966255588976455329e+02 1.794476123663309441e-01
4.138526783728703862e+01 3.121437826143312932e+01 3.513776594461941727e+01 2.650226940101768491e+01 8.875242115667414282e+02 1.778002022813374439e-01
4.706112546503775462e+01 2.678099995765584751e+01 3.919266564452878043e+01 2.230330801897882509e+01 1.015728746714249496e+03 2.007635788765849971e-01
3.696027614233905467e+01 3.460822391824437716e+01 3.008613907251396924e+01 2.817153837939669359e+01 1.174249934056034590e+03 2.284818618054300643e-01
4.231308638635955788e+01 3.887095702505472872e+01 3.200639128012419832e+01 2.940270176977352534e+01 1.737881781611224824e+03 3.220199058378618862e-01
4.654692218847348784e+01 2.588668890864801497e+01 4.015119870638697819e+01 2.232975976398573792e+01 7.863062524156985091e+02 1.592909723282837364e-01
4.809447293394119782e+01 2.934807790960116236e+01 3.950988908160679358e+01 2.410961659896655718e+01 1.109679740056264336e+03 2.172768400995287730e-01
3.953863857371116808e+01 3.414103435678669030e+01 3.187786445441148331e+01 2.752606829216117390e+01 1.243156122249807368e+03 2.403164154943741027e-01
4.380965190406899978e+01 3.012775177620602918e+01 3.718586572712381155e+01 2.557259607228375131e+01 8.893254083305802169e+02 1.781264479776175358e-01
3.673273344619921943e+01 3.591142848459426773e+01 3.152483760501095844e+01 3.081997567098941460e+01 8.184100579507132807e+02 1.651997674481422707e-01
