# mass1 mass2 srcmass1 srcmass2 distance redshift
2.931813754791015825e+01 2.418386359802131480e+01 2.241141751840315521e+01 1.848666762742578840e+01 1.651811300000000074e+03 3.081786336734634313e-01
3.657106437253703746e+01 2.112277823870283910e+01 2.853835776167874272e+01 1.648323374337943648e+01 1.488290099999999939e+03 2.814705274192265683e-01
3.649080855426072389e+01 1.992386217812986615e+01 2.799781011196714786e+01 1.528671279319054044e+01 1.621965899999999920e+03 3.033450976461690152e-01
3.065147026694038601e+01 2.568985096164126958e+01 2.343060849430192860e+01 1.963784558838608518e+01 1.651824200000000019e+03 3.081807190109678851e-01
2.895416371374948739e+01 2.698384513007880514e+01 2.197445312812630647e+01 2.047910089511439935e+01 1.710477100000000064e+03 3.176284089950555112e-01
3.181056082034371357e+01 2.363824598393382814e+01 2.474768711112490394e+01 1.838986488701202404e+01 1.512105000000000018e+03 2.853953049230129047e-01
3.177140083387413227e+01 2.341443755934835025e+01 2.447798971301941862e+01 1.803944260156114865e+01 1.588832300000000032e+03 2.979579289951034826e-01
3.054796242714507670e+01 2.526321318736617627e+01 2.396136181178845703e+01 1.981608407285840201e+01 1.448494099999999889e+03 2.748842351738187695e-01
2.812503206757203245e+01 2.675998216858046774e+01 2.138921798280575715e+01 2.035109117189975692e+01 1.693597400000000107e+03 3.149163326205297597e-01
3.296049465905476694e+01 2.358573780830770872e+01 2.527900062644514989e+01 1.808904529494339641e+01 1.625192900000000009e+03 3.038685803335819946e-01
3.438861727040067251e+01 2.148576552491448055e+01 2.632926393443417368e+01 1.645033840385780621e+01 1.638954899999999952e+03 3.060986952022703433e-01
2.846805853737835790e+01 2.719341394563410574e+01 2.243757641352597787e+01 2.143294396239490496e+01 1.411723300000000108e+03 2.687670902021772057e-01
3.008583829896814876e+01 2.553721011210179626e+01 2.197020570738567713e+01 1.864856660400413801e+01 2.039071099999999888e+03 3.693926538363842549e-01
3.549878213697652285e+01 2.155158693682462001e+01 2.815935287290894706e+01 1.709576230484474735e+01 1.363151599999999917e+03 2.606391310621545832e-01
2.857810022688784457e+01 2.633753207460670964e+01 2.097469411203200806e+01 1.933024499686507980e+01 1.994651699999999892e+03 3.625037902457031724e-01
2.745106645618097829e+01 2.550255840230754956e+01 2.215235022506503526e+01 2.057995110189562737e+01 1.236591799999999921e+03 2.391943147016756255e-01
3.122606092822222834e+01 2.603232106566219173e+01 2.449839104880670249e+01 2.042364494326212210e+01 1.446882700000000114e+03 2.746168050796636284e-01
3.053304237899373419e+01 2.601080969079279015e+01 2.404180197481781178e+01 2.048098345486008043e+01 1.419108099999999922e+03 2.699980812991916168e-01
2.912382445771416783e+01 2.727991802669307120e+01 2.220409424489660921e+01 2.079829425346317606e+01 1.673264499999999998e+03 3.116420844055815542e-01
3.945179514513858265e+01 1.900123184420736777e+01 3.002932784034429403e+01 1.446307369084075667e+01 1.686507200000000012e+03 3.137754982359356459e-01
3.085507166685566105e+01 2.304982372405428848e+01 2.362645978344928821e+01 1.764979641311139247e+01 1.638061799999999948e+03 3.059540849395527284e-01
2.854568971641314690e+01 2.150726395092626930e+01 2.252942400867457096e+01 1.697441097519867981e+01 1.401377199999999903e+03 2.670403693153503011e-01
2.710688705976744117e+01 2.523168974761593475e+01 2.095712637401510037e+01 1.950735654392271456e+01 1.561181100000000015e+03 2.934448442978075944e-01
3.663023636770363822e+01 1.860130002003456440e+01 2.968272890033967926e+01 1.507326734520830591e+01 1.206632100000000037e+03 2.340589199426490741e-01
3.724901648756006267e+01 1.708873098832710014e+01 3.016236429770103911e+01 1.383758762133956921e+01 1.211821799999999939e+03 2.349501557608058844e-01
3.180146529116225906e+01 2.525753286873709413e+01 2.373486267962899987e+01 1.885083183359760639e+01 1.850141499999999951e+03 3.398630411481843860e-01
2.945798533187497981e+01 2.510698026065099597e+01 2.306339402350187839e+01 1.965688325145287862e+01 1.462833699999999908e+03 2.772615037429848606e-01
3.286165385324648724e+01 2.118155247998084434e+01 2.869971040952609798e+01 1.849889920070389948e+01 7.095696799999999484e+02 1.450169142591397620e-01
