# mass1 mass2 srcmass1 srcmass2 distance redshift
4.460921178700581891e+01 2.604899027845015169e+01 3.889607145164616497e+01 2.271287356413162684e+01 7.195311599999999999e+02 1.468821945800352635e-01
4.888244204958008510e+01 2.338733315501123045e+01 4.166842795059745441e+01 1.993585765493841322e+01 8.617993400000000292e+02 1.731290200709189597e-01
4.174968727164841908e+01 2.913636200040788182e+01 3.485335350053072290e+01 2.432353368091590440e+01 9.994000499999999647e+02 1.978671513205373378e-01
3.491890166122101391e+01 3.340766531530365313e+01 3.059058158173213471e+01 2.926666827032338247e+01 6.907992600000000039e+02 1.414919186130685624e-01
3.705274388355835669e+01 3.223569638600739040e+01 3.222749816389922017e+01 2.803775745615030601e+01 7.347487499999999727e+02 1.497244897856918888e-01
4.180109214968292264e+01 2.795814868101632555e+01 3.699119343700219531e+01 2.474110681837262860e+01 6.302536999999999807e+02 1.300282111976791000e-01
4.245607778604485816e+01 2.628322971426774757e+01 3.759062205744671559e+01 2.327117826609137907e+01 6.271294599999999946e+02 1.294327005592688096e-01
3.754260627434197062e+01 2.972132028040559604e+01 3.327686497667221488e+01 2.634426482466744801e+01 6.206133999999999560e+02 1.281893982699430501e-01
4.066685584368882189e+01 2.729110459461885085e+01 3.301007290206988642e+01 2.215271708511471971e+01 1.194385099999999966e+03 2.319529243190135703e-01
4.120593486550122009e+01 3.159224612074208238e+01 3.422025018158912246e+01 2.623638001610432013e+01 1.034814200000000028e+03 2.041389132704377329e-01
4.598846780037124660e+01 2.510765156724515634e+01 3.782671327949221762e+01 2.065169774905849565e+01 1.101029199999999946e+03 2.157669491550547325e-01
3.895244118077496864e+01 3.289358989682661871e+01 3.408228888639224152e+01 2.878096466846018942e+01 6.982563299999998208e+02 1.428939326996666037e-01
5.210550942464888635e+01 2.275983464877374374e+01 4.142631424826819142e+01 1.809513183557320559e+01 1.346189900000000080e+03 2.577877218904922607e-01
4.071000712695439461e+01 2.995515107674631139e+01 3.335016987389224141e+01 2.453965124329698710e+01 1.129242299999999886e+03 2.206836511145841007e-01
3.387156564139935000e+01 3.247310520352959884e+01 2.912668064909438215e+01 2.792412299334669967e+01 8.059192799999997305e+02 1.629051057849428830e-01
3.574473954566577305e+01 3.216229082000301531e+01 3.028126941781223280e+01 2.724638662341666162e+01 9.020272499999999809e+02 1.804240784119763297e-01
5.138709020950257411e+01 2.091993538757342108e+01 4.183565948309351512e+01 1.703150129175822514e+01 1.173245100000000093e+03 2.283083580950589775e-01
4.957415265928290893e+01 2.213421717043829773e+01 4.138611616710347363e+01 1.847836491285187321e+01 9.992753900000000158e+02 1.978450081935411442e-01
4.264982982809307543e+01 2.737116079953194614e+01 3.296804690554804296e+01 2.115773302579231796e+01 1.562568800000000010e+03 2.936717164435884153e-01
4.579322106837948780e+01 2.666956864345030098e+01 4.124806198438059113e+01 2.402250802272861208e+01 5.273078900000000431e+02 1.101908517718968306e-01
3.517751035327721354e+01 3.435994502333691969e+01 2.900219269292737323e+01 2.832814876543333327e+01 1.084784699999999930e+03 2.129258889399693044e-01
3.892347089736437482e+01 2.762190286373634507e+01 3.401865254146125039e+01 2.414121593968813784e+01 7.051080900000001748e+02 1.441802655153736623e-01
3.723682249057087290e+01 3.196544405529442656e+01 3.134898872612698639e+01 2.691111320169212107e+01 9.430871600000000399e+02 1.878157479299109034e-01
5.095601405978103315e+01 2.193130118199930578e+01 4.091608620465802915e+01 1.761014919044195892e+01 1.272849500000000035e+03 2.453784999108743203e-01
3.791722248748688173e+01 3.120333383938107019e+01 3.197119097716594638e+01 2.631014826131684359e+01 9.328669400000003407e+02 1.859809199653411071e-01
3.737305519881079618e+01 2.946001384194475037e+01 3.217624773987714093e+01 2.536353259737743926e+01 7.983432999999999993e+02 1.615106739899032917e-01
4.742683590693075502e+01 2.236345599231044901e+01 4.260673577202606310e+01 2.009060571283991337e+01 5.424129500000000235e+02 1.131300027464057084e-01
4.054011467743407593e+01 2.869142472757910767e+01 3.665026180646091802e+01 2.593846209447124096e+01 5.065457900000000109e+02 1.061343815636107829e-01
4.450459638124467432e+01 2.381141476251929134e+01 3.959774300780395606e+01 2.118608770971395927e+01 5.982939400000000205e+02 1.239175013705622608e-01
