# mass1 mass2 srcmass1 srcmass2 distance redshift
8.275129702169878954e+01 6.957141815619344527e+01 3.996619433845155811e+01 3.360074003073340521e+01 7.387328414540615995e+03 1.070532318412003248e+00
1.012874718472969846e+02 5.137064935818325040e+01 4.261984704093391230e+01 2.161579490640280810e+01 1.007342686044759466e+04 1.376532974180226576e+00
9.534183142911875564e+01 8.496984791013255744e+01 5.993976509954678278e+01 5.341907794234027307e+01 3.566137093426577849e+03 5.906273785153630662e-01
8.906714995138598567e+01 7.136975095438116057e+01 4.285478044396773356e+01 3.433965282553724307e+01 7.453917046173974086e+03 1.078348063592124317e+00
8.960399927103136974e+01 6.321632312037126411e+01 3.391337660986457081e+01 2.392615275337545810e+01 1.251620820090685629e+04 1.642143255206494512e+00
8.592276107752660153e+01 3.002619556364814457e+01 5.483264966332325940e+01 1.916158002160123175e+01 3.394515801147502316e+03 5.669999827675492599e-01
9.697651420060816463e+01 6.906083698747742972e+01 4.951226067860449120e+01 3.525965221366092095e+01 6.447287944568308376e+03 9.586363634273354917e-01
8.374427269383789962e+01 4.340025143448760758e+01 4.604623800414876911e+01 2.386334304076371282e+01 5.310048860880889151e+03 8.186995577422097048e-01
7.863116621744838142e+01 6.279189392456092378e+01 3.532120581194564579e+01 2.820618738501074674e+01 8.734241603794347611e+03 1.226174458371839915e+00
1.042080455854395353e+02 5.874918084590008505e+01 4.778482595457452220e+01 2.693956465571993419e+01 8.336985208668231280e+03 1.180776920365941729e+00
6.812316840518687400e+01 6.653282423710348326e+01 2.986129171032186491e+01 2.916417599719934017e+01 9.221347511350802961e+03 1.281320214344224384e+00
8.162016569130258858e+01 6.644526680209878577e+01 3.614791250397782107e+01 2.942725820662809255e+01 9.014319261313648894e+03 1.257949630765562876e+00
1.116819708461113407e+02 4.322517100648649091e+01 5.329768195516514595e+01 2.062823031602651014e+01 7.599920164010071858e+03 1.095437676634041679e+00
9.993012791839781528e+01 6.309278415306282284e+01 4.281932662003226397e+01 2.703479509426117389e+01 9.688985134280455895e+03 1.333762247247654464e+00
1.035795253687447968e+02 4.763173033402054557e+01 5.162349666353276234e+01 2.373940663681185370e+01 6.845783575013286281e+03 1.006441486206302915e+00
9.843968295415322700e+01 6.584035201471213838e+01 4.212123566639722583e+01 2.817234778033419929e+01 9.718494492478663233e+03 1.337055914831216219e+00
8.351647778580840509e+01 7.502765274574920795e+01 5.275461229158268139e+01 4.739250069789309805e+01 3.511348372254528385e+03 5.831123414233480018e-01
