# mass1 mass2 srcmass1 srcmass2 distance redshift
7.423297810094581450e+01 5.679697223419291419e+01 4.017456675774545261e+01 3.073827577761325713e+01 5.542421199999999772e+03 8.477605134754583327e-01
8.180558995435605141e+01 4.847126693866312763e+01 5.824531444024570703e+01 3.451138468330533016e+01 2.268618800000000192e+03 4.045007867247588096e-01
9.134477249125950493e+01 5.121578402107080308e+01 4.624844212093909590e+01 2.593087878349753339e+01 6.583889000000000124e+03 9.750886365511312048e-01
9.812187653374185459e+01 3.915420074323369448e+01 5.919012682396539304e+01 2.361901534655274304e+01 4.063483700000000226e+03 6.577406030157963990e-01
8.628962887757705857e+01 4.861126291063391847e+01 5.240997368646459620e+01 2.952515896929737593e+01 3.978716100000000097e+03 6.464352642837183360e-01
7.810166133106827147e+01 5.699909371727031981e+01 4.734301498963693433e+01 3.455123619987583794e+01 4.003137499999999818e+03 6.496976660266396975e-01
6.957939929344136942e+01 6.000480258371288755e+01 4.480575799803060022e+01 3.864018216005017337e+01 3.293083399999999983e+03 5.529120006517840302e-01
7.325529017039242774e+01 7.291178232702336004e+01 4.490337736364894283e+01 4.469281697569202549e+01 3.866578599999999824e+03 6.313982259538338804e-01
7.152107888573837613e+01 6.787560660370829169e+01 3.377342090247095996e+01 3.205196938513591931e+01 7.790704300000000330e+03 1.117673512916356637e+00
8.997690061109744875e+01 4.027879812748066968e+01 5.365656312169605968e+01 2.401974128376080131e+01 4.208053899999999885e+03 6.769039121463079622e-01
7.739392251026475833e+01 5.831929620402831915e+01 4.564642045335541098e+01 3.439633279628359475e+01 4.349456199999999626e+03 6.955091273663197571e-01
8.194365279105099376e+01 6.033262405130395223e+01 5.320040327531906144e+01 3.916984196899403514e+01 3.202734500000000025e+03 5.402825494946316143e-01
7.017374061179698685e+01 6.878447842829999104e+01 4.413373277022500929e+01 4.325999673421372194e+01 3.561738899999999830e+03 5.900250490287095584e-01
7.063042237583412941e+01 5.478474922757466459e+01 3.645660771600915240e+01 2.827770306656102051e+01 6.271689900000000307e+03 9.373832838763620501e-01
8.998843333181358162e+01 3.863718355679483096e+01 5.775698410402109317e+01 2.479837812361401461e+01 3.330018300000000181e+03 5.580528437867050551e-01
6.817208531134033933e+01 6.423223946387754779e+01 3.833337747004316753e+01 3.611798978819606276e+01 4.991339600000000246e+03 7.784001778767229984e-01
9.504801016885319598e+01 2.916351791550250994e+01 5.589873987601081495e+01 1.715137327895651609e+01 4.386493400000000292e+03 7.003605158126909869e-01
6.925735615998556227e+01 6.397003803133451072e+01 4.152145256374774362e+01 3.835157804007845783e+01 4.140667199999999866e+03 6.679897229909042000e-01
7.569773658700921715e+01 4.773257739864389748e+01 3.786091969572364491e+01 2.387388792903631796e+01 6.786481099999999969e+03 9.993633856590969922e-01
7.775095226963050266e+01 2.604417758869153943e+01 5.117493539511948342e+01 1.714202934644831444e+01 3.053990600000000086e+03 5.193170576439174457e-01
8.751015465833856410e+01 4.806271463006051903e+01 5.121128197949166605e+01 2.812648704861286930e+01 4.451132200000000012e+03 7.088061707454098581e-01
