# mass1 mass2 srcmass1 srcmass2 distance redshift
1.420809630073343044e+01 9.771910428793649572e+00 1.191928298541206743e+01 8.197732000372099037e+00 9.666087700000000495e+02 1.920260906736275253e-01
2.382392466895203498e+01 6.265421678169511566e+00 2.024212074931306304e+01 5.323447917049249689e+00 8.828223025576822920e+02 1.769480561843068955e-01
1.201084520590358906e+01 1.108715240475986086e+01 9.865700783380408012e+00 9.106980090904299274e+00 1.110584112275448433e+03 2.174345715143575497e-01
1.273965701530060635e+01 1.085130719467822225e+01 1.099698907367853096e+01 9.366948145596515118e+00 7.818490600000000086e+02 1.584677342085551444e-01
1.346988063653541801e+01 9.952000843491807913e+00 1.178706778606173344e+01 8.708682111926526304e+00 6.975845900000000483e+02 1.427677248504178598e-01
1.260893016394889621e+01 1.070738366997277069e+01 1.109092747517581756e+01 9.418310212557949868e+00 6.662906500000000278e+02 1.368688680158388349e-01
1.477957713346487623e+01 9.170020102907384896e+00 1.217969560759737391e+01 7.556918074203176516e+00 1.087837099999999964e+03 2.134603039049484952e-01
1.700781756187165428e+01 8.161470102873471077e+00 1.465217922430920083e+01 7.031079810570568966e+00 7.943264378760013642e+02 1.607705107547585666e-01
1.592933086088642369e+01 8.696391711526581858e+00 1.356947664365006467e+01 7.408062852366748885e+00 8.660864199999999755e+02 1.739090076359481873e-01
1.703835864744603867e+01 8.075327526652820609e+00 1.454046252714531740e+01 6.891450034908199740e+00 8.544437700229897246e+02 1.717893165803664468e-01
1.575579562692763780e+01 8.761545415651049495e+00 1.335540074249386322e+01 7.426724293731989945e+00 8.981990399999999681e+02 1.797321496161669308e-01
1.328128109000741830e+01 1.017349621008768779e+01 1.075523224425512936e+01 8.238536157318941733e+00 1.211337254038497349e+03 2.348669734306824408e-01
1.348874820731402835e+01 1.000577278769874567e+01 1.154729629155024817e+01 8.565629755238433063e+00 8.344058499999999867e+02 1.681304321587763217e-01
1.211086445420125735e+01 1.106148576564023678e+01 1.004981793706531334e+01 9.179024212393068538e+00 1.040163199999999961e+03 2.050829706610384218e-01
2.021415402110395831e+01 7.188360805342879800e+00 1.700271341080169307e+01 6.046339537092817906e+00 9.490131463122648938e+02 1.888781239035683956e-01
1.589567668033587999e+01 8.596903495324049516e+00 1.275738191031007318e+01 6.899610714377654830e+00 1.276494356318283053e+03 2.459983397917676062e-01
1.339959442916689270e+01 1.015692477923531456e+01 1.098986828061193144e+01 8.330346567572911809e+00 1.121105800000000045e+03 2.192679736486144448e-01
1.987280167063478231e+01 7.174212842332374329e+00 1.716221105507939626e+01 6.195671702199216924e+00 7.789909699999999475e+02 1.579394756803872701e-01
1.416916832305880192e+01 9.567630300353041406e+00 1.195019399099070867e+01 8.069283638703870665e+00 9.312215452354848821e+02 1.856852142936747385e-01
1.476761436545345063e+01 9.242768613488733465e+00 1.293491218185539715e+01 8.095715216695065664e+00 6.918334237720576994e+02 1.416864805753299539e-01
2.657910341055881887e+01 5.760534080180637950e+00 2.266124122135486374e+01 4.911409175034486374e+00 8.604766349125175111e+02 1.728882434520818967e-01
1.642406706411141570e+01 8.549718930702359998e+00 1.491274420739588891e+01 7.762984098944475164e+00 4.821570399999999950e+02 1.013443827438545580e-01
1.262972203736233112e+01 1.071308874957325408e+01 1.113513842157333400e+01 9.445316832484445868e+00 6.523158773124724803e+02 1.342222753956408832e-01
