# mass1 mass2 srcmass1 srcmass2 distance redshift
6.675633216866859243e+01 6.116892431261219798e+01 3.418737152961715253e+01 3.132593828340662512e+01 6.397815293224256493e+03 9.526605638820856425e-01
7.421836543112486595e+01 6.728699721877521256e+01 4.437824160032200638e+01 4.023368881528524099e+01 4.174010091981441292e+03 6.724043755394386590e-01
6.691541731203102472e+01 5.091002267909421164e+01 4.050623964909464547e+01 3.081761516279845381e+01 4.020226902375705322e+03 6.519780135534416488e-01
5.520662587403822386e+01 5.152776136551818098e+01 3.589973432756958260e+01 3.350744433715554038e+01 3.185043153718820577e+03 5.378004018163918820e-01
8.000482455045745667e+01 4.291280361402971977e+01 4.406613858380652715e+01 2.363609396934418783e+01 5.285089700118691326e+03 8.155624050948205861e-01
6.069399374872740083e+01 5.259954764977972275e+01 3.613775041037190761e+01 3.131824431484308846e+01 4.227858078392406242e+03 6.795177635436765451e-01
7.215093791609012897e+01 6.015422975994789567e+01 4.011649755033053566e+01 3.344623203115445165e+01 5.150057399493170124e+03 7.985353239167722883e-01
6.312404937214210321e+01 5.036728109882040627e+01 3.935666293487351197e+01 3.140305675679804054e+01 3.663336151359728319e+03 6.038974004629993342e-01
5.488325025145858405e+01 5.345915464971199782e+01 4.246872791600590347e+01 4.136676095231739225e+01 1.554313642917818925e+03 2.923215020710287493e-01
7.185741920146763562e+01 4.555266408884098439e+01 4.573415043359709387e+01 2.899230747835735755e+01 3.424874105447593138e+03 5.711982953701035814e-01
6.307449227386918977e+01 4.758318240042272151e+01 4.550150886645239012e+01 3.432618349880601016e+01 2.148351068219199078e+03 3.862066082026811564e-01
4.974830136287133797e+01 4.660488216368393211e+01 3.816466271851217584e+01 3.575317267295620383e+01 1.623027820849293221e+03 3.035173854357264833e-01
5.711536659374770863e+01 5.265129210929370629e+01 3.781829006616815292e+01 3.486245394362556738e+01 2.990204981485214830e+03 5.102577745798855258e-01
6.721214565643241201e+01 4.497639825782833611e+01 4.447614647599983329e+01 2.976213387240129649e+01 2.996792549643084385e+03 5.111953481109555719e-01
6.154057676745452454e+01 4.640332364756419281e+01 4.925303353638185655e+01 3.713817087625574231e+01 1.296991491193530692e+03 2.494778970719884192e-01
6.616555713643498393e+01 4.876884994823331709e+01 4.564017229452882418e+01 3.364014164731809586e+01 2.571817604821566420e+03 4.497218965224343279e-01
7.715483738555199977e+01 5.217420676584828954e+01 4.629374612031336511e+01 3.130509458502484677e+01 4.130456726458132835e+03 6.666362921901671790e-01
6.673978729241189001e+01 6.406345119554340783e+01 4.109458022858859749e+01 3.944664407365970504e+01 3.812060992539828476e+03 6.240532673937010388e-01
6.548449994784516548e+01 3.787090574143786625e+01 4.552693806098184126e+01 2.632907606192170746e+01 2.494919255916401653e+03 4.383681999463882595e-01
6.101269476435900430e+01 5.414684267587917788e+01 3.380978894938091628e+01 3.000512156063985714e+01 5.197962719548902896e+03 8.045866791923939054e-01
6.346929001099857715e+01 5.861003358880741843e+01 4.451702849360732017e+01 4.110877142051035804e+01 2.409929915784591685e+03 4.257306059885112015e-01
6.807985414134847701e+01 5.208851756533637456e+01 4.742796675609958612e+01 3.628757009869747918e+01 2.475148889811242952e+03 4.354369119690948975e-01
