GW150914,BBH
GW151012,BBH
GW151226,BBH
GW170104,BBH
GW170608,BBH
GW170729,BBH
GW170809,BBH
GW170814,BBH
GW170817,BNS
GW170818,BBH
GW170823,BBH
GW190408_181802,BBH
GW190412_053044,BBH
GW190413_134308,BBH
GW190421_213856,BBH
GW190425_081805,BNS
GW190503_185404,BBH
GW190512_180714,BBH
GW190513_205428,BBH
GW190517_055101,BBH
GW190519_153544,BBH
GW190521_030229,BBH
GW190521_074359,BBH
GW190527_092055,BBH
GW190602_175927,BBH
GW190620_030421,BBH
GW190630_185205,BBH
GW190701_203306,BBH
GW190706_222641,BBH
GW190707_093326,BBH
GW190708_232457,BBH
GW190720_000836,BBH
GW190727_060333,BBH
GW190728_064510,BBH
GW190803_022701,BBH
GW190814_211039,BBH
GW190828_063405,BBH
GW190828_065509,BBH
GW190910_112807,BBH
GW190915_235702,BBH
GW190924_021846,BBH
GW190925_232845,BBH
GW190929_012149,BBH
GW190930_133541,BBH
GW191105_143521,BBH
GW191109_010717,BBH
GW191127_050227,BBH
GW191129_134029,BBH
GW191204_171526,BBH
GW191215_223052,BBH
GW191216_213338,BBH
GW191222_033537,BBH
GW191230_180458,BBH
GW200105_162426,BHNS
GW200112_155838,BBH
GW200115_042309,BHNS
GW200128_022011,BBH
GW200129_065458,BBH
GW200202_154313,BBH
GW200208_130117,BBH
GW200209_085452,BBH
GW200219_094415,BBH
GW200224_222234,BBH
GW200225_060421,BBH
GW200302_015811,BBH
GW200311_115853,BBH
GW200316_215756,BBH
